seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
65,Sirajganj 4,Md. Rafiqul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),161872,"M, Akbar Ali",Bangladesh Nationalist Party (BNP),161278
66,Sirajganj 5,Md. Amirul Islam Khan,Bangladesh Nationalist Party (BNP),134197,Md. Ali Alam,Bangladesh Jamaat-e-Islami (Jamaat),105188
67,Sirajganj 6,MA Muhit,Bangladesh Nationalist Party (BNP),171508,SM Saif Mostafiz,National Citizen Party (NCP),103884
68,Pabna 1,Mohammad Najibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),129974,Md. Shamsur Rahman,Bangladesh Nationalist Party (BNP),104245
69,Pabna 2,"A, K, M, Salim Reza Habib",Bangladesh Nationalist Party (BNP),215406,Md. Hesab Uddin,Bangladesh Jamaat-e-Islami (Jamaat),77242
70,Pabna 3,Muhammad Ali Ashgar,Bangladesh Jamaat-e-Islami (Jamaat),147475,Md Hasan Zafir Tuhin,Bangladesh Nationalist Party (BNP),144206
71,Pabna 4,Md. Abu Taleb Mandal,Bangladesh Jamaat-e-Islami (Jamaat),137675,Md Habibur Rahman (Habib),Bangladesh Nationalist Party (BNP),133874
72,Pabna 5,Md. Shamchur Rahman Shimul Biswas,Bangladesh Nationalist Party (BNP),181925,Md. Iqbal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),164994
73,Meherpur 1,Md. Tajuddin Khan,Bangladesh Jamaat-e-Islami (Jamaat),123271,Masood Arun,Bangladesh Nationalist Party (BNP),105441
74,Meherpur 2,Md. Nazmul Huda,Bangladesh Jamaat-e-Islami (Jamaat),96306,Md. Amjad Hossain,Bangladesh Nationalist Party (BNP),85988
75,Kushtia 1,Reza Ahmed,Bangladesh Nationalist Party (BNP),165909,Md. Belal Uddin,Bangladesh Jamaat-e-Islami (Jamaat),86682
76,Kushtia 2,Md. Abdul Ghafoor,Bangladesh Jamaat-e-Islami (Jamaat),192083,Ragib Rauf Chowdhury,Bangladesh Nationalist Party (BNP),143821
77,Kushtia 3,Md. Amir Hamza,Bangladesh Jamaat-e-Islami (Jamaat),182476,Md. Zakir Hossain Sarkar,Bangladesh Nationalist Party (BNP),127559
78,Kushtia 4,Md. Afzal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),148201,Syed Mehdi Ahmed Rumi,Bangladesh Nationalist Party (BNP),139603
79,Chuadanga 1,Md. Masood Parvez,Bangladesh Jamaat-e-Islami (Jamaat),211041,Md. Sharifuzzaman,Bangladesh Nationalist Party (BNP),153193
80,Chuadanga 2,Md. Ruhul Amin,Bangladesh Jamaat-e-Islami (Jamaat),208011,Mahmud Hasan Khan,Bangladesh Nationalist Party (BNP),163877
81,Jhenaidah 1,Md. Asaduzzaman,Bangladesh Nationalist Party (BNP),173381,Abu Saleh Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),57055
82,Jhenaidah 2,Ali Azam Md. Abu Bakr,Bangladesh Jamaat-e-Islami (Jamaat),195702,Md. Abdul Majeed,Bangladesh Nationalist Party (BNP),175984
83,Jhenaidah 3,Md. Motiyar Rahman,Bangladesh Jamaat-e-Islami (Jamaat),175857,Mohammad Mehdi Hasan,Bangladesh Nationalist Party (BNP),149821
84,Jhenaidah 4,Md. Abu Talib,Bangladesh Jamaat-e-Islami (Jamaat),105999,Md. Saiful Islam Feroze,Independent Candidate (Independent),77104
