seat_name,division,district,total_voters,male_voters,female_voters,hijra_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Development Party (BDP),Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Liberal Democratic Party (LDP),Bangladesh Muslim League (BML),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Sangskritik Muktijote (BSM),Communist Party of Bangladesh (CPB),Ganosanhati Andolan (GSA),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),Jamiat Ulema-e-Islam Bangladesh (JUIB),Janotar Dol,Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Khelafat Majlis,National Citizen Party (NCP),Revolutionary Workers Party of Bangladesh (RWPB)
Brahmanbaria 2,Chattogram,Brahmanbaria,499448.0,265245.0,234201.0,2.0,198981.0,"Rumin Farhana (Independent Candidate (Independent)) 59.6%, Mohammed Junaid Al Habib (Jamiat Ulema-e-Islam Bangladesh (JUIB)) 40.4%","Independent Candidate (Independent) (59.6%), Jamiat Ulema-e-Islam Bangladesh (JUIB) (40.4%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118547.0,-,-,-,80434.0,-,-,-,-,-,-
Brahmanbaria 3,Chattogram,Brahmanbaria,624601.0,328182.0,296419.0,-,272183.0,"Md. Khaled Hossain Mahbub (Bangladesh Nationalist Party (BNP)) 77.0%, Ataullah (National Citizen Party (NCP)) 23.0%","Bangladesh Nationalist Party (BNP) (77.0%), National Citizen Party (NCP) (23.0%)",209636.0,0.770202400590779,0.0,0.0,0.0,0.0,62547.0,0.229797599409221,209636.0,0.770202400590779,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,209636.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62547.0,-
Brahmanbaria 4,Chattogram,Brahmanbaria,443909.0,230647.0,213256.0,6.0,231638.0,"Mushfiqur Rahman (Bangladesh Nationalist Party (BNP)) 60.4%, Md. Ataur Rahman Sarker (Bangladesh Jamaat-e-Islami (Jamaat)) 39.6%","Bangladesh Nationalist Party (BNP) (60.4%), Bangladesh Jamaat-e-Islami (Jamaat) (39.6%)",139842.0,0.6037092359630113,91796.0,0.39629076403698876,0.0,0.0,91796.0,0.39629076403698876,139842.0,0.6037092359630113,0.0,0.0,-,-,-,-,91796.0,-,-,-,-,-,-,-,139842.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brahmanbaria 5,Chattogram,Brahmanbaria,474826.0,248737.0,226085.0,4.0,170477.0,"Md. Abdul Mannan (Bangladesh Nationalist Party (BNP)) 50.3%, Kazi Nazmul Hossain (Independent Candidate (Independent)) 49.7%","Bangladesh Nationalist Party (BNP) (50.3%), Independent Candidate (Independent) (49.7%)",85769.0,0.5031118567314066,0.0,0.0,0.0,0.0,0.0,0.0,85769.0,0.5031118567314066,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,85769.0,-,-,-,-,-,-,84708.0,-,-,-,-,-,-,-,-,-,-
Brahmanbaria 6,Chattogram,Brahmanbaria,289674.0,147260.0,142413.0,1.0,137671.0,"Md. Jonayed Abdur Rahim Saki (Ganosanhati Andolan (GSA)) 69.3%, Md. Mohsin (Bangladesh Jamaat-e-Islami (Jamaat)) 29.0%, Md. Abu Naser (Islamic Front Bangladesh (IFB)) 1.7%","Ganosanhati Andolan (GSA) (69.3%), Bangladesh Jamaat-e-Islami (Jamaat) (29.0%), Islamic Front Bangladesh (IFB) (1.7%)",0.0,0.0,39976.0,0.2903734265023135,95342.0,0.6925351018006697,39976.0,0.2903734265023135,95342.0,0.6925351018006697,0.0,0.0,-,-,-,-,39976.0,-,-,-,-,-,-,-,-,-,-,-,-,95342.0,-,-,-,-,2353.0,-,-,-,-,-,-,-
Chandpur 1,Chattogram,Chandpur,356485.0,184802.0,171680.0,3.0,203400.0,"A. N. M. Ehsanul Hoque Milon (Bangladesh Nationalist Party (BNP)) 65.4%, Abu Nasar Md. Makbol Ahmad (Bangladesh Jamaat-e-Islami (Jamaat)) 34.6%","Bangladesh Nationalist Party (BNP) (65.4%), Bangladesh Jamaat-e-Islami (Jamaat) (34.6%)",133032.0,0.6540412979351032,70368.0,0.34595870206489676,0.0,0.0,70368.0,0.34595870206489676,133032.0,0.6540412979351032,0.0,0.0,-,-,-,-,70368.0,-,-,-,-,-,-,-,133032.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chandpur 2,Chattogram,Chandpur,501061.0,256500.0,244559.0,2.0,229979.0,"Md. Jalal Uddin (Bangladesh Nationalist Party (BNP)) 75.0%, Md. Billal Hosion (Bangladesh Liberal Democratic Party (LDP)) 25.0%","Bangladesh Nationalist Party (BNP) (75.0%), Bangladesh Liberal Democratic Party (LDP) (25.0%)",172506.0,0.7500945738523952,0.0,0.0,0.0,0.0,57473.0,0.24990542614760478,172506.0,0.7500945738523952,0.0,0.0,-,-,-,-,-,-,-,-,-,57473.0,-,-,172506.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chandpur 3,Chattogram,Chandpur,546334.0,282704.0,263628.0,2.0,266269.0,"Sk Farid Ahmed (Bangladesh Nationalist Party (BNP)) 62.1%, Md. Shahjahan Mia (Bangladesh Jamaat-e-Islami (Jamaat)) 37.9%","Bangladesh Nationalist Party (BNP) (62.1%), Bangladesh Jamaat-e-Islami (Jamaat) (37.9%)",165404.0,0.6211913516030781,100865.0,0.3788086483969219,0.0,0.0,100865.0,0.3788086483969219,165404.0,0.6211913516030781,0.0,0.0,-,-,-,-,100865.0,-,-,-,-,-,-,-,165404.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chandpur 4,Chattogram,Chandpur,400631.0,208603.0,192027.0,1.0,143330.0,"Md. Abdul Hannan (Independent Candidate (Independent)) 51.8%, Md. Harunur Rashid (Bangladesh Nationalist Party (BNP)) 48.2%","Independent Candidate (Independent) (51.8%), Bangladesh Nationalist Party (BNP) (48.2%)",69155.0,0.48248796483639156,0.0,0.0,0.0,0.0,0.0,0.0,69155.0,0.48248796483639156,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,69155.0,-,-,-,-,-,-,74175.0,-,-,-,-,-,-,-,-,-,-
Chandpur 5,Chattogram,Chandpur,526679.0,269243.0,257433.0,3.0,261064.0,"Md. Maminul Haque (Bangladesh Nationalist Party (BNP)) 71.0%, Md. Neamul Bashir (Bangladesh Liberal Democratic Party (LDP)) 29.0%","Bangladesh Nationalist Party (BNP) (71.0%), Bangladesh Liberal Democratic Party (LDP) (29.0%)",185404.0,0.7101860080286826,0.0,0.0,0.0,0.0,75660.0,0.28981399197131735,185404.0,0.7101860080286826,0.0,0.0,-,-,-,-,-,-,-,-,-,75660.0,-,-,185404.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
