seat_name,division,district,party,candidate,votes
Gazipur 1,Dhaka,Gazipur,Independent Candidate (Independent),Md. Emarat Hossain Khan,-
Gazipur 1,Dhaka,Gazipur,Bangladesh Nationalist Party (BNP),Md. Muzibur Rahman,208688.0
Gazipur 1,Dhaka,Gazipur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shah Alam Bakshi,149553.0
Gazipur 1,Dhaka,Gazipur,Islami Andolan Bangladesh (IAB),Ruhul Amin,-
Gazipur 1,Dhaka,Gazipur,Jatiya Party (JaPa),S.M. Shafiqul Islam,-
Gazipur 1,Dhaka,Gazipur,Socialist Party of Bangladesh (Marxist) (SPB-M),Taslima Akter,-
Gazipur 2,Dhaka,Gazipur,National Citizen Party (NCP),Ali Naser Khan,140950.0
Gazipur 2,Dhaka,Gazipur,Gono Front (GF),Atiqul Islam,-
Gazipur 2,Dhaka,Gazipur,Islami Andolan Bangladesh (IAB),Hanif Sorker,-
Gazipur 2,Dhaka,Gazipur,Independent Candidate (Independent),Jithe Barua,-
Gazipur 2,Dhaka,Gazipur,Bangladesh Nationalist Party (BNP),M. Manjurul Karim Roni,188606.0
Gazipur 2,Dhaka,Gazipur,Socialist Party of Bangladesh (Marxist) (SPB-M),Masud Reza,-
Gazipur 2,Dhaka,Gazipur,Bangladesh Samajtantrik Dal (Basad),Md. Abdul kayum,-
Gazipur 2,Dhaka,Gazipur,Jatiya Party (JaPa),Md. Mahbub Alam,-
Gazipur 2,Dhaka,Gazipur,Communist Party of Bangladesh (CPB),Md. Ziaul Kabir,-
Gazipur 2,Dhaka,Gazipur,Janotar Dol,Mohammad Shariful Islam,-
Gazipur 2,Dhaka,Gazipur,Insaniyat Biplob Bangladesh (IBB),Sarker Taslima Afruz,-
Gazipur 3,Dhaka,Gazipur,Islami Andolan Bangladesh (IAB),Alamgir Hossain,-
Gazipur 3,Dhaka,Gazipur,Bangladesh Samajtantrik Dal (Basad),Ashikul Islam Piyal,-
Gazipur 3,Dhaka,Gazipur,Islami Oikya Jote (IOJ),Ha. Ma. Mufti Shamim Ahamd,-
Gazipur 3,Dhaka,Gazipur,Independent Candidate (Independent),Md. Ezadur Rahman Chowdhury,-
Gazipur 3,Dhaka,Gazipur,Jatiya Party (JaPa),Md. Nazim Uddin,-
Gazipur 3,Dhaka,Gazipur,Bangladesh Khelafat Majlish (BKM),Muhammad Ehsanul Haque,100539.0
Gazipur 3,Dhaka,Gazipur,Bangladesh Nationalist Party (BNP),S. M. Rafiqul Islam,162343.0
Gazipur 4,Dhaka,Gazipur,Jatiya Party (JaPa),Anamul Kabir,-
Gazipur 4,Dhaka,Gazipur,Communist Party of Bangladesh (CPB),Manabendra Deb,-
Gazipur 4,Dhaka,Gazipur,Islami Andolan Bangladesh (IAB),Md. Kazim Uddn,-
Gazipur 4,Dhaka,Gazipur,Independent Candidate (Independent),Md. Shafiullah,-
Gazipur 4,Dhaka,Gazipur,Amjanatar Dol,Md. Zakir Hossan,-
Gazipur 4,Dhaka,Gazipur,National People's Party (NPP),Monir Hossain,-
Gazipur 4,Dhaka,Gazipur,Bangladesh Jamaat-e-Islami (Jamaat),Salah Uddin,101779.0
Gazipur 4,Dhaka,Gazipur,Bangladesh Nationalist Party (BNP),Shah Reazul Hannan,90390.0
Gazipur 5,Dhaka,Gazipur,Bangladesh Nationalist Party (BNP),A. K. M. Fazlul Haque Milan,133869.0
Gazipur 5,Dhaka,Gazipur,Islami Andolan Bangladesh (IAB),Gazi Ataur Rahman,-
Gazipur 5,Dhaka,Gazipur,Islamic Front Bangladesh (IFB),Md. Al Amin Dewan,-
Gazipur 5,Dhaka,Gazipur,Janotar Dol,Md. Azam Khan,-
Gazipur 5,Dhaka,Gazipur,Gono Forum (GF),Md. Kajal Bhuyia,-
Gazipur 5,Dhaka,Gazipur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khairul Hassan,78123.0
Gopalganj 1,Dhaka,Gopalganj,Independent Candidate (Independent),Asarful Alam,-
Gopalganj 1,Dhaka,Gopalganj,Independent Candidate (Independent),M. Anisul Islam,-
Gopalganj 1,Dhaka,Gopalganj,Gono Odhikar Parishad (GOP),Md. Kabir Miah,54329.0
Gopalganj 1,Dhaka,Gopalganj,Islami Andolan Bangladesh (IAB),Md. Mizanur Rahaman,-
Gopalganj 1,Dhaka,Gopalganj,Independent Candidate (Independent),Md. Qayyum Ali Khan,-
Gopalganj 1,Dhaka,Gopalganj,Bangladesh Nationalist Party (BNP),Md. Selimuzzaman Mollah,69462.0
Gopalganj 1,Dhaka,Gopalganj,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdul Hamid Molla,-
Gopalganj 1,Dhaka,Gopalganj,Communist Party of Bangladesh (CPB),Nirod Baron Mazumdar,-
Gopalganj 1,Dhaka,Gopalganj,Jatiya Party (JaPa),Sultan Jaman Khan,-
Gopalganj 2,Dhaka,Gopalganj,Gono Odhikar Parishad (GOP),Din Muhammad,-
Gopalganj 2,Dhaka,Gopalganj,Bangladesh Nationalist Party (BNP),K. M. Babar,40048.0
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),Kamruzzaman Bhuiyan,-
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),M.H. Khan Manju,33039.0
Gopalganj 2,Dhaka,Gopalganj,Zaker Party (ZP),Mahamud Hasan,-
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),Md. Sirajul Islam Siraj,-
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),Rone Molla,-
Gopalganj 2,Dhaka,Gopalganj,Gono Forum (GF),Shah Mofiz,-
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),Shipon Bhuiyan,-
Gopalganj 2,Dhaka,Gopalganj,Bangladesh Khelafat Majlish (BKM),Shuaib Ibrahim,-
Gopalganj 2,Dhaka,Gopalganj,Islami Andolan Bangladesh (IAB),Taslim Sikder,-
Gopalganj 2,Dhaka,Gopalganj,Independent Candidate (Independent),Utpal Biswas,-
Gopalganj 3,Dhaka,Gopalganj,Bangladesh Khelafat Majlish (BKM),Abdul Aziz,-
Gopalganj 3,Dhaka,Gopalganj,Gono Odhikar Parishad (GOP),Abul Bashar,-
Gopalganj 3,Dhaka,Gopalganj,Gono Forum (GF),Dulal Chandra Biwas,-
Gopalganj 3,Dhaka,Gopalganj,Independent Candidate (Independent),Gobinda Chandra Pramanik,34339.0
Gopalganj 3,Dhaka,Gopalganj,Independent Candidate (Independent),Md. Habibur Rahman,-
Gopalganj 3,Dhaka,Gopalganj,Islami Andolan Bangladesh (IAB),Md. Maruf Sheikh,-
Gopalganj 3,Dhaka,Gopalganj,Bangladesh Nationalist Party (BNP),S. M. Zilany,60991.0
Gopalganj 3,Dhaka,Gopalganj,National People's Party (NPP),SK. Sala Uddin,-
Habiganj 1,Sylhet,Habiganj,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Kazi Tofael Ahmed,-
Habiganj 1,Sylhet,Habiganj,Bangladesh Khelafat Majlish (BKM),Maulana Sirajul Islam,56132.0
Habiganj 1,Sylhet,Habiganj,Islamic Front Bangladesh (IFB),Mohammad Badrur Reza,-
Habiganj 1,Sylhet,Habiganj,Bangladesh Nationalist Party (BNP),Reza Kibria,111999.0
Habiganj 1,Sylhet,Habiganj,Independent Candidate (Independent),Sheikh Shujat Mia,-
Habiganj 2,Sylhet,Habiganj,Khelafat Majlis,Abdul Basit Azad,65762.0
Habiganj 2,Sylhet,Habiganj,Jatiya Party (JaPa),Abdul Muktadir Chowdhury,-
Habiganj 2,Sylhet,Habiganj,Bangladesh Nationalist Party (BNP),Abu Mansur Sakhawat Hasan,126583.0
Habiganj 2,Sylhet,Habiganj,Independent Candidate (Independent),Afsar Ahmed,-
Habiganj 2,Sylhet,Habiganj,Bangladesh Samajtantrik Dal (Basad),Lukman Ahmed Talukder,-
Habiganj 3,Sylhet,Habiganj,Jatiya Party (JaPa),Abdul Mumin Chowdhury,1259.0
Habiganj 3,Sylhet,Habiganj,Bangladesh Nationalist Party (BNP),Alhaj Md. G.K. Gaus,142348.0
Habiganj 3,Sylhet,Habiganj,Bangladesh Jamaat-e-Islami (Jamaat),Kazi Mohsin Ahmed,45568.0
Habiganj 3,Sylhet,Habiganj,Bangladesh Sangskritik Muktijote (BSM),Md. Shahinur Rahman,132.0
Habiganj 3,Sylhet,Habiganj,Islami Andolan Bangladesh (IAB),Mohib Uddin Ahmed Sohel,5443.0
Habiganj 3,Sylhet,Habiganj,Bangladesh Islami Front (BIF),S. M. Sarwar,14133.0
Habiganj 4,Sylhet,Habiganj,Khelafat Majlis,Ahmed Abdul Quader,26466.0
Habiganj 4,Sylhet,Habiganj,Bangladesh Islami Front (BIF),Md. Gias Uddin,84323.0
Habiganj 4,Sylhet,Habiganj,Independent Candidate (Independent),Md. Mizanur Rahman Chowdhury,652.0
Habiganj 4,Sylhet,Habiganj,Bangladesh Samajtantrik Dal (Basad),Md. Mujibur Rahman,329.0
Habiganj 4,Sylhet,Habiganj,Bangladesh Sangskritik Muktijote (BSM),Md. Rashedul Islam Khokon,484.0
Habiganj 4,Sylhet,Habiganj,Insaniyat Biplob Bangladesh (IBB),Md. Rezaul Mostafa,484.0
Habiganj 4,Sylhet,Habiganj,Bangladesh Nationalist Party (BNP),S. M. Faisal,188072.0
Habiganj 4,Sylhet,Habiganj,Independent Candidate (Independent),Saleh Ahmed Sajan,619.0
Habiganj 4,Sylhet,Habiganj,Bangladesh Muslim League (BML),Shah Md. Al Amin,536.0
Jamalpur 1,Mymensingh,Jamalpur,Jatiya Party (JaPa),A. K. M. Fazlul Hoque,-
Jamalpur 1,Mymensingh,Jamalpur,Bangladesh Nationalist Party (BNP),M Rashiduzzaman Millat,173656.0
Jamalpur 1,Mymensingh,Jamalpur,Islami Andolan Bangladesh (IAB),Md. Abdur Rouf Talukder,-
Jamalpur 1,Mymensingh,Jamalpur,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Nazmul Haque Sayeedi,97820.0
Jamalpur 2,Mymensingh,Jamalpur,Bangladesh Nationalist Party (BNP),A. E. Sultan Mahmud Babu,95860.0
Jamalpur 2,Mymensingh,Jamalpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Samiul Haque,62434.0
Jamalpur 2,Mymensingh,Jamalpur,Islami Andolan Bangladesh (IAB),Sultan Mahmud,-
Jamalpur 3,Mymensingh,Jamalpur,Independent Candidate (Independent),Farzana Forid,-
Jamalpur 3,Mymensingh,Jamalpur,Ganosanhati Andolan (GSA),Fidel Naim,-
Jamalpur 3,Mymensingh,Jamalpur,Gono Odhikar Parishad (GOP),Liton Mia,-
Jamalpur 3,Mymensingh,Jamalpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mujibur Rahman Azadi,81430.0
Jamalpur 3,Mymensingh,Jamalpur,Bangladesh Nationalist Party (BNP),Md. Mustafizur Rahman Babul,207412.0
Jamalpur 3,Mymensingh,Jamalpur,Independent Candidate (Independent),Md. Sadikur Rahman,-
Jamalpur 3,Mymensingh,Jamalpur,Jatiya Party (JaPa),Mir Samsul Alam,-
Jamalpur 3,Mymensingh,Jamalpur,Islami Andolan Bangladesh (IAB),Mohammad Daulatuzzaman Ansary,-
Jamalpur 3,Mymensingh,Jamalpur,Independent Candidate (Independent),Shiblul Bari Raju,-
Jamalpur 4,Mymensingh,Jamalpur,Nagorik Oikya (NO),Kabir Hassan,-
Jamalpur 4,Mymensingh,Jamalpur,Islami Andolan Bangladesh (IAB),Md. Ali Akbor,-
Jamalpur 4,Mymensingh,Jamalpur,Bangladesh Nationalist Party (BNP),Md. Faridul Kabir Talukder,147406.0
Jamalpur 4,Mymensingh,Jamalpur,Gono Odhikar Parishad (GOP),Md. Iqbal Hossain,-
Jamalpur 4,Mymensingh,Jamalpur,Communist Party of Bangladesh (CPB),Md. Mahbub Jaman Jewel,-
Jamalpur 5,Mymensingh,Jamalpur,Bangladesh Congress,Abu Sayem Muhammad Saadat Ul Karim,-
Jamalpur 5,Mymensingh,Jamalpur,Gono Odhikar Parishad (GOP),Jakir Hossain,-
Jamalpur 5,Mymensingh,Jamalpur,Jatiya Samajtantrik Dal-JASAD,Md. Amir Uddin,-
Jamalpur 5,Mymensingh,Jamalpur,Jatiya Party (JaPa),Md. Babar Ali Khan,-
Jamalpur 5,Mymensingh,Jamalpur,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdus Sattar,113201.0
Jamalpur 5,Mymensingh,Jamalpur,Bangladesh Nationalist Party (BNP),Shah Md. Wares Ali Mamun,199344.0
Jamalpur 5,Mymensingh,Jamalpur,Communist Party of Bangladesh (CPB),Shekh Md. Akkas Ali,-
Jamalpur 5,Mymensingh,Jamalpur,Islami Andolan Bangladesh (IAB),Syed Younus Ahmed,-
Jashore 1,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Md. Baktiar Rahman,1768.0
Jashore 1,Khulna,Jashore,Jatiya Party (JaPa),Md. Jahangir Alam Chanchal,1398.0
Jashore 1,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Md. Nuruzzaman Liton,93542.0
Jashore 1,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Azizur Rahman,119093.0
Jashore 2,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Md. Idris Ali,5781.0
Jashore 2,Khulna,Jashore,Bangladesh Samajtantrik Dal (Basad),Md. Imran Khan,472.0
Jashore 2,Khulna,Jashore,Independent Candidate (Independent),Md. Mehedi Hasan,389.0
Jashore 2,Khulna,Jashore,Bangladesh Nationalist Front (BNF),Md. Shamsul Haque,233.0
Jashore 2,Khulna,Jashore,Independent Candidate (Independent),Md. Zahurul Islam,188.0
Jashore 2,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Moslehuddin Farid,180965.0
Jashore 2,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Ms. Sabira Sultana,146447.0
Jashore 2,Khulna,Jashore,Amar Bangladesh Party (AB),Ripon Mahmud,416.0
Jashore 3,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Anindya Islam Amit,201339.0
Jashore 3,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Quader,187463.0
Jashore 3,Khulna,Jashore,Jatiya Party (JaPa),Md. Khabir Gazi,-
Jashore 3,Khulna,Jashore,Jatiya Ganatantrik Party (JAGPA),Md. Nizamuddin Amit,-
Jashore 3,Khulna,Jashore,Communist Party of Bangladesh (CPB),Md. Rashed Khan,-
Jashore 3,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Muhammad Shoaib Hossain,-
Jashore 4,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Bayezid Hossain,-
Jashore 4,Khulna,Jashore,Independent Candidate (Independent),M. Nazim Uddin-al-Azad,-
Jashore 4,Khulna,Jashore,Khelafat Majlis,Maolana Ashek Elahi,-
Jashore 4,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Matiar Rahman Faraji,131917.0
Jashore 4,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rasul,176912.0
Jashore 4,Khulna,Jashore,Jatiya Party (JaPa),Md. Zahurul Haque,-
Jashore 4,Khulna,Jashore,Bangladesh Minority Janata Party (BMJP),Sukriti Kumar Mandal,-
Jashore 5,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Gazi Enamul Haque,132876.0
Jashore 5,Khulna,Jashore,Jatiya Party (JaPa),M.A. Halim,-
Jashore 5,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Md. Joynal Abedin,-
Jashore 5,Khulna,Jashore,Independent Candidate (Independent),Md. Kamruzzaman,-
Jashore 5,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Rashid Ahmad,54875.0
Jashore 5,Khulna,Jashore,Independent Candidate (Independent),Shaheed Md. Iqbal Hossain,-
Jashore 6,Khulna,Jashore,Bangladesh Nationalist Party (BNP),Abul Hossain Azad,80141.0
Jashore 6,Khulna,Jashore,Jatiya Party (JaPa),GM Hassan,-
Jashore 6,Khulna,Jashore,Amar Bangladesh Party (AB),Md. Mahmud Hasan,-
Jashore 6,Khulna,Jashore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Moktar Ali,92234.0
Jashore 6,Khulna,Jashore,Islami Andolan Bangladesh (IAB),Md. Shahidul Islam,-
Jhalokathi 1,Barisal,Jhalokathi,Bangladesh Jamaat-e-Islami (Jamaat),Fayzul Huq,55120.0
Jhalokathi 1,Barisal,Jhalokathi,Islami Andolan Bangladesh (IAB),Ibrahim,-
Jhalokathi 1,Barisal,Jhalokathi,Independent Candidate (Independent),M. Moyeen Alam Firozee,-
Jhalokathi 1,Barisal,Jhalokathi,Janotar Dol,Md. Jashim Uddin Talukder,-
Jhalokathi 1,Barisal,Jhalokathi,Jatiya Party (JaPa),Md. Kamruzzaman Khan,-
Jhalokathi 1,Barisal,Jhalokathi,Jatiya Party (JaPa),Md. Rubel Howlader,-
Jhalokathi 1,Barisal,Jhalokathi,Independent Candidate (Independent),Md. Shabbir Ahmed,-
Jhalokathi 1,Barisal,Jhalokathi,Gono Odhikar Parishad (GOP),Md. Shahadat Hossain,-
Jhalokathi 1,Barisal,Jhalokathi,Jatiya Samajtantrik Dal-JASAD,Md. Sohrab Hossain,-
Jhalokathi 1,Barisal,Jhalokathi,Bangladesh Nationalist Party (BNP),Rafiqul Islam Jamal,62010.0
Jhalokathi 2,Barisal,Jhalokathi,Bangladesh Nationalist Party (BNP),Esrat Sultana Elen Bhutto,113419.0
Jhalokathi 2,Barisal,Jhalokathi,National People's Party (NPP),Forkan Hossain,-
Jhalokathi 2,Barisal,Jhalokathi,Jatiya Samajtantrik Dal-JASAD,Masud Parvez,-
Jhalokathi 2,Barisal,Jhalokathi,Gono Odhikar Parishad (GOP),Md. Mahmudul Islam Sagor,-
Jhalokathi 2,Barisal,Jhalokathi,Independent Candidate (Independent),Md. Nuruddin Sarder,-
Jhalokathi 2,Barisal,Jhalokathi,Islami Andolan Bangladesh (IAB),Muhammad Sirajul Islam Siraji,-
Jhalokathi 2,Barisal,Jhalokathi,Bangladesh Jamaat-e-Islami (Jamaat),SM Neamul Karim,70556.0
Jhalokathi 2,Barisal,Jhalokathi,Independent Candidate (Independent),Syed Razzaque Ali,-
Jhenaidah 1,Khulna,Jhenaidah,Bangladesh Jamaat-e-Islami (Jamaat),Abu Salah Md. Motiur Rahman,57055.0
Jhenaidah 1,Khulna,Jhenaidah,Bangladesh Nationalist Party (BNP),Md. Asaduzzaman,173381.0
Jhenaidah 1,Khulna,Jhenaidah,Amar Bangladesh Party (AB),Md. Motiar Rahman,-
Jhenaidah 1,Khulna,Jhenaidah,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Shedul Enam Pallob Mia,-
Jhenaidah 1,Khulna,Jhenaidah,Jatiya Party (JaPa),Monika Alam,-
Jhenaidah 2,Khulna,Jhenaidah,Bangladesh Jamaat-e-Islami (Jamaat),Ali Azam Md. Abu Bakr,195702.0
Jhenaidah 2,Khulna,Jhenaidah,Islami Andolan Bangladesh (IAB),H.M. Momtazur Rahman,-
Jhenaidah 2,Khulna,Jhenaidah,Bangladesh Nationalist Party (BNP),Md. Abdul Mazid,175984.0
Jhenaidah 2,Khulna,Jhenaidah,Communist Party of Bangladesh (CPB),Md. Abu Toab,-
Jhenaidah 2,Khulna,Jhenaidah,Bangladesh Samajtantrik Dal (Basad),Md. Assadul Islam,-
Jhenaidah 2,Khulna,Jhenaidah,Jatiya Party (JaPa),Shawgatul Islam,-
Jhenaidah 3,Khulna,Jhenaidah,Islami Andolan Bangladesh (IAB),Mao. Sorwar Hossain,-
Jhenaidah 3,Khulna,Jhenaidah,Bangladesh Jamaat-e-Islami (Jamaat),Md. Motiar Rahman,175857.0
Jhenaidah 3,Khulna,Jhenaidah,Gono Odhikar Parishad (GOP),Md. Sumon Kabir,-
Jhenaidah 3,Khulna,Jhenaidah,Bangladesh Nationalist Party (BNP),Mohammad Mahadi Hassan,149821.0
Jhenaidah 4,Khulna,Jhenaidah,Islami Andolan Bangladesh (IAB),Abdul Jalil,-
Jhenaidah 4,Khulna,Jhenaidah,Jatiya Party (JaPa),Amdadul Islam (Bacchu),-
Jhenaidah 4,Khulna,Jhenaidah,Gono Forum (GF),Khania Khanam,-
Jhenaidah 4,Khulna,Jhenaidah,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taleb,105999.0
Jhenaidah 4,Khulna,Jhenaidah,Bangladesh Nationalist Party (BNP),Md. Rashed Khan,-
Jhenaidah 4,Khulna,Jhenaidah,Independent Candidate (Independent),Md. Saiful Islam Firoz,77140.0
Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Fazlur Rahman Sayed,165192.0
Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Nationalist Party (BNP),Md. Masud Rana Prodhan,155309.0
Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Samajtantrik Dal (Basad),Md. Wazed Pervaz,-
Joypurhat 1,Rajshahi,Joypurhat,Independent Candidate (Independent),Sabekun Nahar,-
Joypurhat 1,Rajshahi,Joypurhat,Socialist Party of Bangladesh (Marxist) (SPB-M),Toufiqua Dewan,-
Joypurhat 2,Rajshahi,Joypurhat,Bangladesh Nationalist Party (BNP),Md. Abdul Bari,158065.0
Joypurhat 2,Rajshahi,Joypurhat,Amar Bangladesh Party (AB),S. A. Jahid,1555.0
Joypurhat 2,Rajshahi,Joypurhat,Bangladesh Jamaat-e-Islami (Jamaat),SM Rashedul Alom,92517.0
Khagrachhari 1,Chattogram,Khagrachhari,Bangladesh Nationalist Party (BNP),Abdul Wadud Bhuiyan,151040.0
Khagrachhari 1,Chattogram,Khagrachhari,Independent Candidate (Independent),Dharma Jyoti Chakma,68315.0
Khagrachhari 1,Chattogram,Khagrachhari,Gono Odhikar Parishad (GOP),Dinmoy Roaza,-
Khagrachhari 1,Chattogram,Khagrachhari,Independent Candidate (Independent),Jiruna Tripura,-
Khagrachhari 1,Chattogram,Khagrachhari,Bangladesh Jamaat-e-Islami (Jamaat),Md. Eyakub Ali,-
Khagrachhari 1,Chattogram,Khagrachhari,Islami Andolan Bangladesh (IAB),Md. Kowsar,-
Khagrachhari 1,Chattogram,Khagrachhari,Bangladesh Muslim League (BML),Md. Mostafa,-
Khagrachhari 1,Chattogram,Khagrachhari,Insaniyat Biplob Bangladesh (IBB),Md. Nur Islam,-
Khagrachhari 1,Chattogram,Khagrachhari,Jatiya Party (JaPa),Mithila Raoza,-
Khagrachhari 1,Chattogram,Khagrachhari,Independent Candidate (Independent),Samiran Dewan,-
Khagrachhari 1,Chattogram,Khagrachhari,Bangladesh Minority Janata Party (BMJP),Usheapru Marma,-
Khulna 1,Khulna,Khulna,Independent Candidate (Independent),Achintya Kumar Mondal,-
Khulna 1,Khulna,Khulna,Bangladesh Nationalist Party (BNP),Amir Ezaz Khan,121352.0
Khulna 1,Khulna,Khulna,Gono Odhikar Parishad (GOP),G. M. Rokonuzzaman,-
Khulna 1,Khulna,Khulna,Independent Candidate (Independent),Gobindo Haldar,-
Khulna 1,Khulna,Khulna,Communist Party of Bangladesh (CPB),Kishore Kumar Ray,-
Khulna 1,Khulna,Khulna,Bangladesh Jamaat-e-Islami (Jamaat),Krishno Nandy,70346.0
Khulna 1,Khulna,Khulna,Islami Andolan Bangladesh (IAB),Md. Abu Saeed,-
Khulna 1,Khulna,Khulna,Jatiya Party (JaPa),Md. Jahangir Hossain,-
Khulna 1,Khulna,Khulna,Bangladesh Minority Janata Party (BMJP),Probir Gopal Roy,-
Khulna 1,Khulna,Khulna,Jatiya Samajtantrik Dal-JASAD,Prosenjit Dutta,-
Khulna 1,Khulna,Khulna,Bangladesh Somo Odhikar Party (BEP),Subrota Mondol,-
Khulna 1,Khulna,Khulna,Bangladesh Islami Front (BIF),Sunil Shuvo Roy,-
Khulna 2,Khulna,Khulna,Islami Andolan Bangladesh (IAB),Amanullah,-
Khulna 2,Khulna,Khulna,Bangladesh Nationalist Party (BNP),Nazrul Islam Manju,88197.0
Khulna 2,Khulna,Khulna,Bangladesh Jamaat-e-Islami (Jamaat),Sk. Zahangir Hossain Helal,93789.0
Khulna 3,Khulna,Khulna,Bangladesh Samajtantrik Dal (Basad),Janardon Datta,-
Khulna 3,Khulna,Khulna,Islami Andolan Bangladesh (IAB),Md. Abdul Aual,-
Khulna 3,Khulna,Khulna,Jatiya Party (JaPa),Md. Abdullah Al Mamun,-
Khulna 3,Khulna,Khulna,Independent Candidate (Independent),Md. Abul Hasnat Siddique,-
Khulna 3,Khulna,Khulna,Independent Candidate (Independent),Md. Murad Khan Liton,-
Khulna 3,Khulna,Khulna,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Mahfuzur Rahman,66010.0
Khulna 3,Khulna,Khulna,Independent Candidate (Independent),Moyain Mohammad Mayaz,-
Khulna 3,Khulna,Khulna,Bangladesh Nationalist Party (BNP),Rakibul Islam,74845.0
Khulna 3,Khulna,Khulna,Independent Candidate (Independent),S. M. Arifur Rahman (Mithu),-
Khulna 3,Khulna,Khulna,Nationalist Democratic Movement (NDM),Sk Arman Hossain,-
Khulna 4,Khulna,Khulna,Bangladesh Nationalist Party (BNP),Azizul Baree Helal,123162.0
Khulna 4,Khulna,Khulna,Khelafat Majlis,S. M. Sakhawat Hossain,109530.0
Khulna 4,Khulna,Khulna,Independent Candidate (Independent),S.M. Azmal Hossain,-
Khulna 4,Khulna,Khulna,Islami Andolan Bangladesh (IAB),Younus Ahammad Sheikh,-
Khulna 5,Khulna,Khulna,Communist Party of Bangladesh (CPB),Chitta Ranjan Golder,-
Khulna 5,Khulna,Khulna,Bangladesh Jamaat-e-Islami (Jamaat),Mia Golam Porwar,146246.0
Khulna 5,Khulna,Khulna,Bangladesh Nationalist Party (BNP),Mohammad Ali Asghar,148854.0
Khulna 5,Khulna,Khulna,Jatiya Party (JaPa),Shamim Ara Parvin (Yasmin),-
Khulna 6,Khulna,Khulna,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,150724.0
Khulna 6,Khulna,Khulna,Islami Andolan Bangladesh (IAB),Md. Asadullah Fakir,-
Khulna 6,Khulna,Khulna,Jatiya Party (JaPa),Md. Mostafa Kamal Jahangir,-
Khulna 6,Khulna,Khulna,Communist Party of Bangladesh (CPB),Prosanto Kumar Mondal,-
Khulna 6,Khulna,Khulna,Bangladesh Nationalist Party (BNP),S M Monirul Hassan (Bappi),124710.0
Kishoreganj 1,Dhaka,Kishoreganj,Khelafat Majlis,Ahmad Ali,-
Kishoreganj 1,Dhaka,Kishoreganj,Socialist Party of Bangladesh (Marxist) (SPB-M),Alal Mia,-
Kishoreganj 1,Dhaka,Kishoreganj,Bangladesh Khelafat Majlish (BKM),Hedayatullah Hadi,101132.0
Kishoreganj 1,Dhaka,Kishoreganj,Communist Party of Bangladesh (CPB),Md. Enamul Haque,-
Kishoreganj 1,Dhaka,Kishoreganj,Bangladesh Samajtantrik Dal (Basad),Md. Masud Miah,-
Kishoreganj 1,Dhaka,Kishoreganj,Independent Candidate (Independent),Md. Rezaul Karim Khan,-
Kishoreganj 1,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Mohammad Mazharul Islam,124035.0
Kishoreganj 1,Dhaka,Kishoreganj,National People's Party (NPP),Tarek Muhammad Shohidul Islam,-
Kishoreganj 2,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Advocat Md. Jalal Uddin,143669.0
Kishoreganj 2,Dhaka,Kishoreganj,Islami Andolan Bangladesh (IAB),Md. Abul Basar Rajoan,-
