seat_name,division,district,party,candidate,votes
Bogura 7,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,-
Bogura 7,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Shafiqul Islam,-
Bogura 7,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Morshed Milton,158196.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Aminul Islam,24430.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Independent Candidate (Independent),A.K.M. Kamruzzaman,35220.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Hussain Ahmed,907.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Independent Candidate (Independent),Iqbal Chowdhury,17666.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Bangladesh Nationalist Party (BNP),M. A. Hannan,68092.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Independent Candidate (Independent),Md. Habibur Rahman,106.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Jatiya Party (JaPa),Md. Shah Alam,265.0
Brahmanbaria 1,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Md. Sharif Mridha,139.0
Brahmanbaria 2,Chattogram,Brahmanbaria,National Citizen Party (NCP),Ashraf Uddin,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Jatiya Party (JaPa),Ed. Md. Ziaul Haque Mridha,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Md. Main Uddin,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Jamiat Ulema-e-Islam Bangladesh (JUIB),Mohammed Junaid Al Habib,80434.0
Brahmanbaria 2,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Nesar Ahmad,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Independent Candidate (Independent),Rumin Farhana,118547.0
Brahmanbaria 2,Chattogram,Brahmanbaria,Independent Candidate (Independent),SN Tarun Dey,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Amjanatar Dol,Sharifa Akhter,-
Brahmanbaria 2,Chattogram,Brahmanbaria,Jatiya Samajtantrik Dal-JASAD,Taimur Reza Md. Shahzad,-
Brahmanbaria 3,Chattogram,Brahmanbaria,National Citizen Party (NCP),Ataullah,62547.0
Brahmanbaria 3,Chattogram,Brahmanbaria,Islamic Front Bangladesh (IFB),Ayesha Akhter,-
Brahmanbaria 3,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Md. Abu Hanif,-
Brahmanbaria 3,Chattogram,Brahmanbaria,Bangladesh Nationalist Party (BNP),Md. Khaled Hossain Mahbub,209636.0
Brahmanbaria 3,Chattogram,Brahmanbaria,Independent Candidate (Independent),Md. Omar Yusuf Khan,-
Brahmanbaria 3,Chattogram,Brahmanbaria,Jatiya Party (JaPa),Md. Rezaul Islam Bhuiyan,-
Brahmanbaria 3,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Niazul Karim,-
Brahmanbaria 4,Chattogram,Brahmanbaria,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ataur Rahman Sarker,91796.0
Brahmanbaria 4,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Md. Jasim,-
Brahmanbaria 4,Chattogram,Brahmanbaria,Gono Odhikar Parishad (GOP),Md. Zahirul Haque Chowdhury,-
Brahmanbaria 4,Chattogram,Brahmanbaria,Jatiya Party (JaPa),Md. Zahirul Haque Khan,-
Brahmanbaria 4,Chattogram,Brahmanbaria,Bangladesh Nationalist Party (BNP),Mushfiqur Rahman,139842.0
Brahmanbaria 4,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Rafi Uddin,-
Brahmanbaria 4,Chattogram,Brahmanbaria,National People's Party (NPP),Shaheen Khan,-
Brahmanbaria 5,Chattogram,Brahmanbaria,Bangladesh Khelafat Majlish (BKM),Amjad Hossain,-
Brahmanbaria 5,Chattogram,Brahmanbaria,Independent Candidate (Independent),Kazi Nazmul Hossain,84708.0
Brahmanbaria 5,Chattogram,Brahmanbaria,Bangladesh Nationalist Party (BNP),Md. Abdul Mannan,85769.0
Brahmanbaria 5,Chattogram,Brahmanbaria,Communist Party of Bangladesh (CPB),Md. Shaheen Khan,-
