seat_id,seat_number,seat_name,division,district,party,candidate,votes
320211,20,Rangpur 2,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),A. T. M. Azharul Islam,89456
320211,20,Rangpur 2,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Ali Sarkar,53626
320216,21,Rangpur 3,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Mahbubur Rahman Belal,175827
320216,21,Rangpur 3,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Shamsuzzaman Shamu,84578
320221,22,Rangpur 4,Rangpur,Rangpur,National Citizen Party (NCP),Akhter Hossain,149966
320221,22,Rangpur 4,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Emdadul Haque Varosha,140564
320226,23,Rangpur 5,Rangpur,Rangpur,Jatiya Party (JaPa),S. M. Fakhruz Zaman,14944
320226,23,Rangpur 5,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Golam Rabbani,115116
320226,23,Rangpur 5,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,176411
320231,24,Rangpur 6,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Amin,120128
320231,24,Rangpur 6,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Saiful Islam,117703
319561,25,Kurigram 1,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anowarul Islam,141090
319561,25,Kurigram 1,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Saifur Rahman Rana,123025
319566,26,Kurigram 2,Rangpur,Kurigram,National Citizen Party (NCP),Atiqur Rahman Mujahid,178869
319566,26,Kurigram 2,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Md. Sohel Hossain Kaikobad,170335
319571,27,Kurigram 3,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Md. Akkas Ali Sarker,33380
319571,27,Kurigram 3,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Tasvir Ul Islam,672
319571,27,Kurigram 3,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,106923
319576,28,Kurigram 4,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Md. Azizur Rahman,83762
319576,28,Kurigram 4,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,106347
319576,28,Kurigram 4,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Md. Hafizur Rahman,9449
319256,29,Gaibandha 1,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Khondokar Ziaul Islam Md. Ali,37997
319256,29,Gaibandha 1,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mazedur Rahman,140726
319261,30,Gaibandha 2,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Md. Anisuzzam Khan Babu,92890
319261,30,Gaibandha 2,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Karim,122630
319266,31,Gaibandha 3,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Prof Mainul Hasan Sadik,139864
319266,31,Gaibandha 3,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Abul Kaowsar Md. Nazrul Islam,162457
319271,32,Gaibandha 4,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Md. Shamim Kaisar,142772
319271,32,Gaibandha 4,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rahim Sarkar,139738
319276,33,Gaibandha 5,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Wareth,89274
319276,33,Gaibandha 5,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Md. Faruk Alam Sarkar,73483
319466,34,Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Samajtantrik Dal (Basad),Md. Wazed Parvej,578
319466,34,Joypurhat 1,Rajshahi,Joypurhat,Socialist Party of Bangladesh (Marxist) (SPB-M),Towfika Dewan,617
319466,34,Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Fazlur Rahman Sayed,165192
319466,34,Joypurhat 1,Rajshahi,Joypurhat,Bangladesh Nationalist Party (BNP),Md. Masud Rana Prodhan,155309
319466,34,Joypurhat 1,Rajshahi,Joypurhat,Independent Candidate (Independent),Sabekun Nahar,13286
319471,35,Joypurhat 2,Rajshahi,Joypurhat,Amar Bangladesh Party (AB),S. A. Zahid,1555
319471,35,Joypurhat 2,Rajshahi,Joypurhat,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Rashedul Alam,92517
319471,35,Joypurhat 2,Rajshahi,Joypurhat,Bangladesh Nationalist Party (BNP),Md. Abdul Bari,158065
318761,36,Bogura 1,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Abm Mostofa Kamal Pasha,1026
318761,36,Bogura 1,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Kazi Rafiqul Islam,171440
318761,36,Bogura 1,Rajshahi,Bogura,Gono Forum (GF),Md. Zulfiqar Ali,298
318761,36,Bogura 1,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahabuddin,57959
318761,36,Bogura 1,Rajshahi,Bogura,Bangladesh Congress,Md. Asadul Haque,597
318766,37,Bogura 2,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Abul Azad Md. Shaduzzam,93548
318766,37,Bogura 2,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Mir Shahe Alam,145137
318766,37,Bogura 2,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Jamal Uddin,913
318766,37,Bogura 2,Rajshahi,Bogura,Independent Candidate (Independent),Md. Rezaul Karim Talu,183
318766,37,Bogura 2,Rajshahi,Bogura,Gono Odhikar Parishad (GOP),Md. Selim Sarkar,274
318766,37,Bogura 2,Rajshahi,Bogura,Jatiya Party (JaPa),Shariful Islam Jinnah,434
318766,37,Bogura 2,Rajshahi,Bogura,Nagorik Oikya (NO),Mahmudur Rahman Manna,3426
318771,38,Bogura 3,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Nur Mohhammad,111026
318771,38,Bogura 3,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Md. Abdul Muhit Talukdar,127406
318771,38,Bogura 3,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Shahjahan Ali Talukdar,1789
318771,38,Bogura 3,Rajshahi,Bogura,Jatiya Party (JaPa),Md. Shahinul Islam,1495
318776,39,Bogura 4,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Muha. Idris Ali,2954
318776,39,Bogura 4,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Md. Mosharraf Hossain,155339
318776,39,Bogura 4,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafa Faisal,108978
318776,39,Bogura 4,Rajshahi,Bogura,Jatiya Party (JaPa),Shaheen Mostafa Kamal,1107
318781,40,Bogura 5,Rajshahi,Bogura,Bangladesh Liberal Democratic Party (LDP),Khan Qudrat E Sakrain,1134
318781,40,Bogura 5,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Golam Md. Siraj,248841
318781,40,Bogura 5,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Mir Md. Mahmudur Rahman,5558
318781,40,Bogura 5,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Dabibur Rahman,143329
318781,40,Bogura 5,Rajshahi,Bogura,Communist Party of Bangladesh (CPB),Shipon Kumar Rabidas,1782
318786,41,Bogura 6,Rajshahi,Bogura,Jatiya Samajtantrik Dal (JSD),Abdullah Al Waki,276
318786,41,Bogura 6,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Abu Numan Md. Mamunur Rashid,2508
318786,41,Bogura 6,Rajshahi,Bogura,Bangladesh Samajtantrik Dal (Basad),Dilruba,795
318786,41,Bogura 6,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abidur Rahman,97626
318786,41,Bogura 6,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Tarique Rahman,216284
318791,42,Bogura 7,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Morshed Milton,264212
318791,42,Bogura 7,Rajshahi,Bogura,Bangladesh Muslim League (BML),Md. Ansar Ali,536
318791,42,Bogura 7,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,116665
318791,42,Bogura 7,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Shafiqul Islam,2061
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Islami Front (BIF),Nabab Md. Shamsul Hoda,446
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Jatiya Party (JaPa),Moha. Afzal Hossain,2263
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Sangskritik Muktijote (BSM),Md. Abdul Halim,557
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Keramat Ali,206893
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Monirul Islam,1083
318866,43,Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Shahjahan Mia,162515
318871,44,Chapainawabganj 2,Rajshahi,Chapainawabganj,Jatiya Party (JaPa),Mu. Khurshid Alam,8175
318871,44,Chapainawabganj 2,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Mu.Mizanur Rahman,171227
318871,44,Chapainawabganj 2,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Aminul Islam,155119
318871,44,Chapainawabganj 2,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Ibrahim Khalil,1069
318871,44,Chapainawabganj 2,Rajshahi,Chapainawabganj,Communist Party of Bangladesh (CPB),Md. Sadekul Isalm,626
318876,45,Chapainawabganj 3,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Islam,189640
318876,45,Chapainawabganj 3,Rajshahi,Chapainawabganj,Jatiya Samajtantrik Dal (JSD),Md. Fazlul Islam Khan,637
318876,45,Chapainawabganj 3,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Monirul Islam,820
318876,45,Chapainawabganj 3,Rajshahi,Chapainawabganj,Gono Odhikar Parishad (GOP),Md. Shofiqul Islam,361
318876,45,Chapainawabganj 3,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Harunur Rashid,127037
319831,46,Naogaon 1,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,153816
319831,46,Naogaon 1,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Akber Ali,4243
319831,46,Naogaon 1,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Md. A. H. Shah,9058
319831,46,Naogaon 1,Rajshahi,Naogaon,Independent Candidate (Independent),Md. Shalek Chowdhury,18088
319831,46,Naogaon 1,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Mostafizur Rahman,173864
319836,47,Naogaon 2,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Enamul Haque,141526
319836,47,Naogaon 2,Rajshahi,Naogaon,Amar Bangladesh Party (AB),Md. Matibul Islam,2680
319836,47,Naogaon 2,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Samsujjoha Khan,134533
319841,48,Naogaon 3,Rajshahi,Naogaon,Bangladesh Samajtantrik Dal (Basad),Kalipada Sarkar,1233
319841,48,Naogaon 3,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Nasir Bin Asgar,3643
319841,48,Naogaon 3,Rajshahi,Naogaon,Independent Candidate (Independent),Parvez Arefin Siddiqui,17129
319841,48,Naogaon 3,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Fazle Huda,166889
319841,48,Naogaon 3,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Masud Rana,4869
319841,48,Naogaon 3,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahfuzur Rahman,119421
319841,48,Naogaon 3,Rajshahi,Naogaon,Independent Candidate (Independent),Md. Saddam Hossain,823
319841,48,Naogaon 3,Rajshahi,Naogaon,Bangladesh Nationalist Front (BNF),Abdullah Al Mamun Soikot,195
319846,49,Naogaon 4,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Ekramul Bari Tipu,133928
319846,49,Naogaon 4,Rajshahi,Naogaon,Communist Party of Bangladesh (CPB),S. M. Fazlur Rahman,2313
319846,49,Naogaon 4,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rakib,97585
319846,49,Naogaon 4,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Altaf Hossain,1327
319846,49,Naogaon 4,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Sohrab Hossain,609
319846,49,Naogaon 4,Rajshahi,Naogaon,Independent Candidate (Independent),Mst. Arfana Begum,712
319851,50,Naogaon 5,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Abu Sadat Md. Sayem,104747
319851,50,Naogaon 5,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Anwar Hossain,2176
319851,50,Naogaon 5,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Md. Abdur Rahman,4101
319851,50,Naogaon 5,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Zahidul Islam Dhalu,129385
319851,50,Naogaon 5,Rajshahi,Naogaon,Communist Party of Bangladesh (CPB),Shafiqul Islam,741
