seat_name,candidate_ds,party_ds,party_tbs,tbs_votes,ds_votes,diff,diff_pct,is_significant,issue
Rangpur 4,Md. Emdadul Haque Bhorsa,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),140564,139616,-948,0.67%,False,Vote count mismatch
Rangpur 5,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),176411,175208,-1203,0.68%,False,Vote count mismatch
Rangpur 5,Md. Golam Rabbani,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),115116,114141,-975,0.85%,False,Vote count mismatch
Rangpur 6,Md. Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),120128,118890,-1238,1.03%,True,Vote count mismatch
Rangpur 6,Md. Saiful Islam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),117703,116919,-784,0.67%,False,Vote count mismatch
Satkhira 4,G. M. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),106913,105805,-1108,1.04%,True,Vote count mismatch
Satkhira 4,Md. Moniruzzaman,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),85426,84868,-558,0.65%,False,Vote count mismatch
Sherpur 1,Md. Likhon Mia,National Citizen Party (NCP),National Citizen Party (NCP),-,456,-,-,True,Party not found in TBS for this seat
Sherpur 1,Md. Mahmudul Haque Moni,Jatiya Party (JaPa),Jatiya Party (JaPa),-,751,-,-,True,Party not found in TBS for this seat
Sirajganj 1,Md. Selim Reza,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),115132,116613,1481,1.29%,True,Vote count mismatch
Sirajganj 1,Md. Shahinur Alam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),106732,108815,2083,1.95%,True,Vote count mismatch
Sirajganj 4,Abdur Rahman,Islami Andolan Bangladesh (IAB),Islami Andolan Bangladesh (IAB),-,2216,-,-,True,Party not found in TBS for this seat
Sirajganj 4,Md. Abdul Hakim,Communist Party of Bangladesh (CPB),Communist Party of Bangladesh (CPB),-,695,-,-,True,Party not found in TBS for this seat
Sirajganj 4,Md. Hilton Pramanik,Jatiya Party (JaPa),Jatiya Party (JaPa),-,1213,-,-,True,Party not found in TBS for this seat
Sylhet 1,Khandaker Abdul Muktadir,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),176936,173932,-3004,1.70%,True,Vote count mismatch
Sylhet 2,Mst. Tahsina Rushdeer,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),116697,117956,1259,1.08%,True,Vote count mismatch
Sylhet 2,Md. Muntasir Ali,Khelafat Majlis,Khelafat Majlis,37446,38635,1189,3.18%,True,Vote count mismatch
Sylhet 3,Md. Abdul Malik,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),114255,115450,1195,1.05%,True,Vote count mismatch
Sylhet 4,Ariful Haque Chowdhury,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),181609,186846,5237,2.88%,True,Vote count mismatch
Sylhet 4,Md. Joynal Abedin,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),65776,71391,5615,8.54%,True,Vote count mismatch
Sylhet 6,Emran Ahmed Chowdhury,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),108612,109917,1305,1.20%,True,Vote count mismatch
Sylhet 6,Md. Selim Uddin,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),97748,101569,3821,3.91%,True,Vote count mismatch
