seat_name,party,candidate,votes
Faridpur 1,Independent Candidate (Independent),Mohammad Arifur Rahman,0
Faridpur 2,Bangladesh Nationalist Party (BNP),Shama Obayed Islam,121694
Faridpur 2,Bangladesh Khelafat Majlish (BKM),Md. Akram Ali,89305
Faridpur 2,Islami Andolan Bangladesh (IAB),Shah Md. Jamal Uddin,2368
Faridpur 2,Gono Odhikar Parishad (GOP),Faruk Fakir,675
Faridpur 2,Bangladesh Congress,Md. Nazmul Hasan,257
Faridpur 2,Insaniyat Biplob Bangladesh,Akramuzzaman,0
Faridpur 3,Bangladesh Nationalist Party (BNP),Nayab Yusuf Ahmed,148545
Faridpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdut Tawab,124115
Faridpur 3,Islami Andolan Bangladesh (IAB),K. M. Sarwar,4022
Faridpur 3,Independent Candidate (Independent),Morshedul Islam Asif,1253
Faridpur 3,Communist Party of Bangladesh (CPB),Md. Rafiquzzaman Mia,967
Faridpur 3,Jatiya Samajtantrik Dal (JSD),Arifa Akter Baby,251
Faridpur 4,Bangladesh Nationalist Party (BNP),Md. Shahidul Islam,127443
Faridpur 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Sarwar Hossain,75805
Faridpur 4,Independent Candidate (Independent),A. A. M. Mujahid Beg,56160
Faridpur 4,Islami Andolan Bangladesh (IAB),Md. Ishaq Chowdhury,11498
Faridpur 4,Independent Candidate (Independent),Muhammad Mujibur Hossain,1704
Faridpur 4,Bangladesh Khelafat Majlish (BKM),Mizanur Rahman,1118
Faridpur 4,Communist Party of Bangladesh (CPB),Ataur Rahman,714
Faridpur 4,Jatiya Party (JaPa),Raihan Jamil,550
Gopalganj 1,Bangladesh Nationalist Party (BNP),Md. Selimuzzaman Mollya,69462
Gopalganj 1,Gono Odhikar Parishad (GOP),Md. Kabir Mia,54329
Gopalganj 1,Independent Candidate (Independent),Md. Kaiyum Ali Khan,34635
Gopalganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdul Hamid Molla,34635
Gopalganj 1,Independent Candidate (Independent),Ashraful Alam,21276
Gopalganj 1,Islami Andolan Bangladesh (IAB),Mohammad Mizanur Rahman,5870
Gopalganj 1,Jatiya Party (JaPa),M. Anisul Islam,3257
Gopalganj 1,Jatiya Party (JaPa),Sultan Zaman Khan,621
Gopalganj 1,Communist Party of Bangladesh (CPB),Nirad Baran Majumdar,349
Gopalganj 2,Bangladesh Nationalist Party (BNP),K. M. Babar,40048
Gopalganj 2,Independent Candidate (Independent),M. H. Khan Manju,33039
Gopalganj 2,Bangladesh Khelafat Majlish (BKM),Shuayeb Ibrahim,28604
Gopalganj 2,Independent Candidate (Independent),Kamruzzaman Bhuiyan,27891
Gopalganj 2,Independent Candidate (Independent),Utpal Biswas,8665
Gopalganj 2,Islami Andolan Bangladesh (IAB),Taslim Shikder,2911
Gopalganj 2,Independent Candidate (Independent),Md. Sirajul Islam Siraj,2189
Gopalganj 2,Independent Candidate (Independent),Sipon Bhuiyan,1931
Gopalganj 2,Zaker Party (ZP),Mahmud Hasan,1371
Gopalganj 2,Jatiya Party (JaPa),Riyaz Sarwar Mollya,419
Gopalganj 2,Independent Candidate (Independent),Rani Molla,403
Gopalganj 2,Gono Odhikar Parishad (GOP),Din Mohammad,305
Gopalganj 2,Gono Forum (GF),Shah Mofiz,215
Gopalganj 3,Bangladesh Nationalist Party (BNP),S. M. Zilani,60991
Gopalganj 3,Independent Candidate (Independent),Gobinda Chandra Pramanik,34339
Gopalganj 3,Bangladesh Khelafat Majlish (BKM),A. Aziz,25153
Gopalganj 3,Islami Andolan Bangladesh (IAB),Md. Maruf Sheikh,4717
Gopalganj 3,Independent Candidate (Independent),Md. Habibur Rahman,3805
Gopalganj 3,Gono Odhikar Parishad (GOP),Abul Basar,2600
Gopalganj 3,National People's Party (NPP),Sheikh Salauddin,591
Gopalganj 3,Gono Forum (GF),Dulal Chandra Biswas,269
Madaripur 1,Bangladesh Khelafat Majlish (BKM),Said Uddin Ahmad Hanzala,64909
Madaripur 1,Bangladesh Nationalist Party (BNP),Nadira Akter,64524
Madaripur 1,Independent Candidate (Independent),Kamal Zaman Mollah,36564
Madaripur 1,Islami Andolan Bangladesh (IAB),Akram Hossain,6205
Madaripur 1,Independent Candidate (Independent),Sazzad Hossain Siddiquee,3059
Madaripur 1,Gono Odhikar Parishad (GOP),Rajib Mollah,3026
Madaripur 1,Independent Candidate (Independent),Md. Imran Hasan,247
Madaripur 1,Communist Party of Bangladesh (CPB),Abdul Ali,208
Madaripur 1,Jatiya Party (JaPa),Mohammad Jahirul Islam Mintu,180
Madaripur 1,Bangladesh Labour Party,Md. Hafizur Rahman,69
Madaripur 2,Bangladesh Nationalist Party (BNP),Md. Jahandar Ali Mia,61744
Madaripur 2,Independent Candidate (Independent),Milton Baidya,46476
Madaripur 2,Bangladesh Khelafat Majlish (BKM),Abdus Sobahan,36169
Madaripur 2,Islami Andolan Bangladesh (IAB),Ali Ahmad Chowdhury,16865
Madaripur 2,Independent Candidate (Independent),Md. Kamrul Islam Saeed,14519
Madaripur 2,Independent Candidate (Independent),Shahidul Islam Khan,6043
Madaripur 2,Independent Candidate (Independent),Md. Reyazul Islam,2799
Madaripur 2,Jatiya Party (JaPa),Md. Mahidul Islam,646
Madaripur 2,Bangladesh Kallyan Party (BKP),Subal Chandra Majumder,301
Madaripur 2,Bangladesh Socialist Party (Marxist),Mohammad Didar Hossain,128
Madaripur 3,Bangladesh Nationalist Party (BNP),Anisur Rahman,96188
Madaripur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rafiqul Islam,84646
Madaripur 3,Islami Andolan Bangladesh (IAB),Md. Azizul Haque,13058
Madaripur 3,Bangladesh Supreme Party (BSP),Nitai Chakraborty,2507
Madaripur 3,Bangladesh Socialist Party (BASAD),Aminul Islam,363
Shariatpur 1,Bangladesh Nationalist Party (BNP),Saeed Ahmed,77398
Shariatpur 1,Bangladesh Khelafat Majlish (BKM),Jalaluddin Ahmed,62717
Shariatpur 1,Independent Candidate (Independent),Syed Nazrul Islam,14644
Shariatpur 1,Islami Andolan Bangladesh (IAB),Md. Tofayel Ahmed,10817
Shariatpur 1,Bangladesh Supreme Party (BSP),Nur Mohammad Mia,616
Shariatpur 1,Gono Odhikar Parishad (GOP),Firoz Ahmed,551
Shariatpur 1,National Citizen Party (NCP),Md. Abdur Rahman,475
Shariatpur 1,Independent Candidate (Independent),Mohammad Golam Mostafa,359
Shariatpur 2,Bangladesh Nationalist Party (BNP),Md. Shafiqul Rahman (Kiron),129814
Shariatpur 2,Bangladesh Jamaat-e-Islami (Jamaat),Mahmud Hossain,70892
Shariatpur 2,Islami Andolan Bangladesh (IAB),Imran Hossain,6505
Shariatpur 2,Jatiya Party (JaPa),Jasim Uddin,2547
Shariatpur 2,Janata Party,Parvez Mosharraf,442
Shariatpur 2,Bangladesh Khelafat Andolon (BKA),Mahmudul Hasan,313
Shariatpur 2,Gono Odhikar Parishad (GOP),Akhtaruzzaman Samrat,283
Shariatpur 2,Independent Candidate (Independent),Md. Alamgir Hossain,246
Shariatpur 2,Independent Candidate (Independent),Md. Nasir,0
Shariatpur 3,Bangladesh Nationalist Party (BNP),Mia Nuruddin Ahmed Apu,75423
Shariatpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Azharul Islam,48213
Shariatpur 3,Islami Andolan Bangladesh (IAB),Hanif Mia,9814
Shariatpur 3,Jatiya Party (JaPa),Md. Abdul Hannan,2064
Meherpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Tajuddin Khan,123271
Meherpur 1,Bangladesh Nationalist Party (BNP),Masud Arun,105441
Meherpur 1,Jatiya Party (JaPa),Md. Abdul Hamid,1429
Meherpur 1,Communist Party of Bangladesh (CPB),Md. Mizanur Rahman,792
Meherpur 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazmul Huda,94658
Meherpur 2,Bangladesh Nationalist Party (BNP),Md. Amjad Hossain,85452
Meherpur 2,Jatiya Party (JaPa),Md. Abdul Baki,1791
Kushtia 1,Bangladesh Nationalist Party (BNP),Reza Ahmed,165909
Kushtia 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Belal Uddin,86682
Kushtia 1,Independent Candidate (Independent),Md. Nuruzzaman,17864
Kushtia 1,Islami Andolan Bangladesh (IAB),Md. Aminul Islam,4063
Kushtia 1,Jatiya Party (JaPa),Md. Shahriar Jamil,1094
Kushtia 1,Gono Odhikar Parishad (GOP),Md. Shahabul Islam,613
Kushtia 1,Bangladesh Islami Front,Md. Badiruzzaman,241
Kushtia 1,Jatiya Samajtantrik Dal (JSD),Dr. Md. Gias Uddin,203
Kushtia 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Gafur,192083
Kushtia 2,Bangladesh Nationalist Party (BNP),Ragib Rauf Chowdhury,143821
Kushtia 2,Islami Andolan Bangladesh (IAB),Mohammad Ali,3887
Kushtia 2,Islamic Front Bangladesh (IFB),Md. Babul Akter,1123
Kushtia 2,Communist Party of Bangladesh (CPB),Nur Uddin Ahmed,805
Kushtia 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amir Hamza,182476
Kushtia 3,Bangladesh Nationalist Party (BNP),Md. Zakir Hossain Sarkar,127559
Kushtia 3,Islami Andolan Bangladesh (IAB),Md. Abdullah Akhand,5153
Kushtia 3,Bangladesh Republican Party (BRP),Mosammat Rumpa Khatun,475
Kushtia 3,Bangladesh Socialist Party (BASAD),Mir Nazmul Islam,442
Kushtia 3,Gono Odhikar Parishad (GOP),Md. Shariful Islam,299
Kushtia 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Afzal Hossain,148201
Kushtia 4,Bangladesh Nationalist Party (BNP),Syed Mehdi Ahmed Rumi,139603
Kushtia 4,Islami Andolan Bangladesh (IAB),Anowar Khan,13739
Kushtia 4,Jatiya Party (JaPa),Tarun Kumar Ghosh,671
Kushtia 4,Jatiya Party (JaPa),Md. Shahidul Islam,308
Kushtia 4,Jatiya Party (JaPa),Md. Abdul Hakim Mia,255
Chuadanga 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Masud Parvez,211041
Chuadanga 1,Bangladesh Nationalist Party (BNP),Md. Sharifuzzaman,153193
Chuadanga 1,Islami Andolan Bangladesh (IAB),Mohammad Zahurul Islam,10122
Chuadanga 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ruhul Amin,208011
Chuadanga 2,Bangladesh Nationalist Party (BNP),Mahmud Hasan Khan,163877
Chuadanga 2,Islami Andolan Bangladesh (IAB),Md. Hasanuzzaman,6374
Jhenaidah 1,Bangladesh Nationalist Party (BNP),Md. Asaduzzaman,173381
Jhenaidah 1,Bangladesh Jamaat-e-Islami (Jamaat),Abu Saleh Md. Matiur Rahman,57055
Jhenaidah 1,Jatiya Party (JaPa),Monika Alam,969
Jhenaidah 1,Amar Bangladesh Party (AB),Md. Matiar Rahman,610
Jhenaidah 1,Bangladesh Socialist Party (Marxist),Md. Sahidul Enam Pallab Mia,309
Jhenaidah 2,Bangladesh Jamaat-e-Islami (Jamaat),Ali Azam Md. Abu Bakar,195702
Jhenaidah 2,Bangladesh Nationalist Party (BNP),Md. Abdul Majid,175984
Jhenaidah 2,Islami Andolan Bangladesh (IAB),H. M. Momtazur Rahman,4571
Jhenaidah 2,Jatiya Party (JaPa),Saogat Ul Islam,994
Jhenaidah 2,Communist Party of Bangladesh (CPB),Md. Abu Toyab,557
Jhenaidah 2,Bangladesh Socialist Party (BASAD),Md. Assadul Islam,340
Jhenaidah 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiar Rahman,175857
Jhenaidah 3,Bangladesh Nationalist Party (BNP),Mohammad Mehdi Hasan,149821
Jhenaidah 3,Islami Andolan Bangladesh (IAB),Mawlana Sarwar Hossain,3820
Jhenaidah 3,Gono Odhikar Parishad (GOP),Md. Suman Kabir,388
Jhenaidah 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Talib,105999
Jhenaidah 4,Independent Candidate (Independent),Md. Saiful Islam Firoz,77104
Jhenaidah 4,Bangladesh Nationalist Party (BNP),Md. Rashed Khan,56224
Jhenaidah 4,Islami Andolan Bangladesh (IAB),Abdul Jalil,3907
Jhenaidah 4,Jatiya Party (JaPa),Emdadul Islam (Bacchu),613
Jhenaidah 4,Gono Forum (GF),Khaniya Khanam,267
Jashore 1,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Azizur Rahman,119093
Jashore 1,Bangladesh Nationalist Party (BNP),Md. Nuruzzaman Liton,93542
Jashore 1,Islami Andolan Bangladesh (IAB),Md. Bokhtiar Rahman,1768
Jashore 1,Jatiya Party (JaPa),Md. Jahangir Alam Chanchal,1398
Jashore 2,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Mosleh Uddin Farid,180965
Jashore 2,Bangladesh Nationalist Party (BNP),Mosammat Sabira Sultana,146447
Jashore 2,Islami Andolan Bangladesh (IAB),Md. Idris Ali,5781
Jashore 2,Bangladesh Socialist Party (BASAD),Md. Imran Khan,472
Jashore 2,Amar Bangladesh Party (AB),Ripon Mahmud,416
Jashore 2,Independent Candidate (Independent),Md. Mehdi Hasan,389
Jashore 2,Bangladesh Nationalist Front (BNF),Md. Shamsul Haque,233
Jashore 2,Independent Candidate (Independent),Md. Jahurul Islam,188
Jashore 3,Bangladesh Nationalist Party (BNP),Anindya Islam Amit,201339
Jashore 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Qader,187463
Jashore 3,Islami Andolan Bangladesh (IAB),Mohammad Shoaib Hossain,13322
Jashore 3,Jatiya Party (JaPa),Md. Khabir Gazi,3404
Jashore 3,JAGPA,Md. Nizamuddin Amit,1772
Jashore 3,Communist Party of Bangladesh (CPB),Md. Rashed Khan,753
Jashore 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rasul,176912
Jashore 4,Bangladesh Nationalist Party (BNP),Matiar Rahman Farazi,131917
Jashore 4,Islami Andolan Bangladesh (IAB),Bayezid Hossain,11838
Jashore 4,Jatiya Party (JaPa),Md. Jahurul Haque,1751
Jashore 4,Bangladesh Minority People’s Party (BMJP),Sukriti Kumar Mondal,1510
Jashore 4,Independent Candidate (Independent),M. Nazim Uddin Al-Azad,797
Jashore 4,Khelafat Majlis,Mawlana Asheq Elahi,301
Jashore 4,Gono Odhikar Parishad (GOP),Md. Abul Kalam Gazi,257
Jashore 5,Bangladesh Jamaat-e-Islami (Jamaat),Gazi Enamul Haque,132876
Jashore 5,Independent Candidate (Independent),Shaheed Md. Iqbal Hossain,85045
Jashore 5,Bangladesh Nationalist Party (BNP),Rashid Ahmad,54875
Jashore 5,Islami Andolan Bangladesh (IAB),Md. Zainal Abedin,4400
Jashore 5,Jatiya Party (JaPa),M. A. Halim,2245
Jashore 5,Independent Candidate (Independent),Md. Kamruzzaman,2103
Jashore 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Moktar Ali,92234
Jashore 6,Bangladesh Nationalist Party (BNP),Md. Abul Hossain Azad,80141
Jashore 6,Islami Andolan Bangladesh (IAB),Md. Shahidul Islam,1285
Jashore 6,Jatiya Party (JaPa),G. M. Hasan,990
Jashore 6,Amar Bangladesh Party (AB),Md. Mahmud Hasan,672
Magura 1,Bangladesh Nationalist Party (BNP),Md. Monowar Hossain,185338
Magura 1,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Matin,89691
Magura 1,Islami Andolan Bangladesh (IAB),Md. Nazirul Islam,13414
Magura 1,Jatiya Party (JaPa),Md. Zakir Hossain Mollah,1767
Magura 1,Bangladesh Socialist Party (BASAD),Shampa Bosu,1237
Magura 1,Bangladesh Congress,Kazi Rezaul Hossain,821
Magura 1,Gono Odhikar Parishad (GOP),Md. Khalilur Rahman,292
Magura 2,Bangladesh Nationalist Party (BNP),Nitai Roy Chowdhury,147896
Magura 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mushtarshed Billah,117018
Magura 2,Islami Andolan Bangladesh (IAB),Mostafa Kamal,16223
Magura 2,Jatiya Party (JaPa),Mashiar Rahman,2947
Narail 1,Bangladesh Nationalist Party (BNP),Biswas Jahangir Alam,99975
Narail 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Obaidullah,75225
Narail 1,Islami Andolan Bangladesh (IAB),Abdul Aziz,6352
Narail 1,Independent Candidate (Independent),B. M. Nagib Hossain,1113
Narail 1,Independent Candidate (Independent),S. M. Sazzad Hossain,898
Narail 1,Independent Candidate (Independent),Sukesh Saha Ananda,864
Narail 1,Jatiya Party (JaPa),Md. Milton Molla,461
Narail 1,Independent Candidate (Independent),Md. Uzzal Molla,230
Narail 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ataur Rahman,118142
Narail 2,Independent Candidate (Independent),Md. Monirul Islam,78457
Narail 2,Bangladesh Nationalist Party (BNP),AZM Fariduzzaman,45463
Narail 2,Islami Andolan Bangladesh (IAB),Md. Tajul Islam,4729
Narail 2,Jatiya Party (JaPa),Khandaker Fayekuzzaman,688
Narail 2,Gono Odhikar Parishad (GOP),Md. Nur Islam,339
Narail 2,Bangladesh Cultural Liberation Front (Muktijot),Md. Shoaib Ali,220
Narail 2,Independent Candidate (Independent),Mosammat Farida Yasmin,219
Bagerhat 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mashirur Rahman Khan,117527
Bagerhat 1,Bangladesh Nationalist Party (BNP),Kapil Krishna Mondol,114323
Bagerhat 1,Independent Candidate (Independent),Md. Sheikh Masud Rana,6467
Bagerhat 1,Independent Candidate (Independent),M. A. H. Selim,5283
Bagerhat 1,Jatiya Party (JaPa),S. M. Golam Sarwar,571
Bagerhat 1,Amar Bangladesh Party (AB),Md. Aminul Islam,291
Bagerhat 1,Bangladesh Muslim League (BML),M. D. Shamsul Haque,242
Bagerhat 1,Bangladesh Muslim League (BML),A. Sabur Sheikh,167
Bagerhat 2,Bangladesh Jamaat-e-Islami (Jamaat),Sheikh Manjurul Haque (Rahad),117709
Bagerhat 2,Bangladesh Nationalist Party (BNP),Sheikh Mohammad Zakir Hossain,66409
Bagerhat 2,Independent Candidate (Independent),M. A. H. Selim,48965
Bagerhat 2,Islami Andolan Bangladesh (IAB),Sheikh Atiar Rahman,4313
Bagerhat 3,Bangladesh Nationalist Party (BNP),Sheikh Faridul Islam,102661
Bagerhat 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdul Wadud Sheikh,83550
Bagerhat 3,Islami Andolan Bangladesh (IAB),Sheikh Jillur Rahman,3460
Bagerhat 3,Independent Candidate (Independent),M. A. H. Selim,425
Bagerhat 3,Jatiya Samajtantrik Dal (JSD),Md. Habibur Rahman Master,349
Bagerhat 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Alim,116067
Bagerhat 4,Bangladesh Nationalist Party (BNP),Somnath Dey,98326
Bagerhat 4,Islami Andolan Bangladesh (IAB),Md. Omar Faruk,8501
Bagerhat 4,Jatiya Party (JaPa),Sajan Kumar Mistry,1147
Bagerhat 4,Jatiya Samajtantrik Dal (JSD),Md. A. Latif Khan,315
Bagerhat 4,Independent Candidate (Independent),Kazi Khairuzzaman (Shipon),229
Khulna 1,Bangladesh Nationalist Party (BNP),Amir Ejaz Khan,121352
Khulna 1,Bangladesh Jamaat-e-Islami (Jamaat),Krishna Nandi,70346
Khulna 1,Islami Andolan Bangladesh (IAB),Md. Abu Sayeed,5619
Khulna 1,Communist Party of Bangladesh (CPB),Kishore Kumar Roy,4742
Khulna 1,Jatiya Party (JaPa),Gobinda Halder,894
Khulna 1,Jatiya Party (JaPa),Achintya Kumar Mondal,710
Khulna 1,Jatiya Party (JaPa),Md. Jahangir Hossain,630
Khulna 1,Jatiya Party (JaPa),Prabir Gopal Roy,567
Khulna 1,Jatiya Samajtantrik Dal (JSD),Prosenjit Dutta,513
Khulna 1,Bangladesh Islami Front,Sunil Shubho Roy,169
Khulna 1,Bangladesh Samo Odhikar Party (BEP),Subrata Mondal,169
Khulna 1,Gono Odhikar Parishad (GOP),G. M. Rokonuzzaman,84
Khulna 2,Bangladesh Jamaat-e-Islami (Jamaat),Sheikh Jahangir Hossain Helal,93789
Khulna 2,Bangladesh Nationalist Party (BNP),Nazrul Islam Manju,88197
Khulna 2,Islami Andolan Bangladesh (IAB),Amanullah,7298
Khulna 3,Bangladesh Nationalist Party (BNP),Rakibul Islam,74845
Khulna 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Mahfuzur Rahman,66010
Khulna 3,Islami Andolan Bangladesh (IAB),Md. A. Awal,5705
Khulna 3,Jatiya Party (JaPa),S. M. Arifur Rahman (Mithu),838
Khulna 3,Bangladesh Socialist Party (BASAD),Janardan Dutta,246
Khulna 3,Nationalist Democratic Movement (NDM),Sheikh Arman Hossain,141
Khulna 3,Independent Candidate (Independent),Main Mohammad Mayaz,98
Khulna 3,Independent Candidate (Independent),Md. Murad Khan Liton,83
Khulna 3,Independent Candidate (Independent),Md. Abul Hasnat Siddique,0
Khulna 3,Jatiya Party (JaPa),Md. Abdullah Al Mamun,0
Khulna 4,Bangladesh Nationalist Party (BNP),S. K. Azizul Bari,123162
Khulna 4,Khelafat Majlis,S. M. Sakhawat Hossain,109530
Khulna 4,Islami Andolan Bangladesh (IAB),Yunus Ahmed Sheikh,13345
Khulna 4,Jatiya Party (JaPa),S. M. Azmal Hossain,859
Khulna 5,Bangladesh Nationalist Party (BNP),Mohammad Ali Asgar,148854
Khulna 5,Bangladesh Jamaat-e-Islami (Jamaat),Mia Golam Parwar,146246
Khulna 5,Communist Party of Bangladesh (CPB),Chitta Ranjan Goldar,1790
Khulna 5,Jatiya Party (JaPa),Shamim Ara Parvin (Yasmin),1319
Khulna 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,150724
Khulna 6,Bangladesh Nationalist Party (BNP),S. M. Monirul Hasan (Bappi),124710
Khulna 6,Islami Andolan Bangladesh (IAB),Md. Asadullah Fakir,2950
Khulna 6,Jatiya Party (JaPa),Md. Mostafa Kamal Jahangir,2717
Khulna 6,Communist Party of Bangladesh (CPB),Prashanta Kumar Mondal,1571
Satkhira 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Izzat Ullah,193772
Satkhira 1,Bangladesh Nationalist Party (BNP),Md. Habibul Islam Habib,169995
Satkhira 1,Jatiya Party (JaPa),Ziaur Rahman,2544
Satkhira 1,Islami Andolan Bangladesh (IAB),Sheikh Md. Rezaul Karim,2071
Satkhira 1,Bangladesh Congress,Md. Iyarul Islam,715
Satkhira 2,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdul Khaleq,266959
Satkhira 2,Bangladesh Nationalist Party (BNP),Md. Abdur Rauf,116293
Satkhira 2,Jatiya Party (JaPa),Md. Ashrafuzzaman,4278
Satkhira 2,Islami Andolan Bangladesh (IAB),Mufti Rabiul Islam,1976
Satkhira 2,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Idris Ali,317
Satkhira 3,Bangladesh Jamaat-e-Islami (Jamaat),Hafez Md. Rabiul Bashar,184233
Satkhira 3,Independent Candidate (Independent),Md. Shahidul Alam,105379
Satkhira 3,Bangladesh Nationalist Party (BNP),Kazi Alauddin,56819
Satkhira 3,Islami Andolan Bangladesh (IAB),Md. Waez Kurni,2497
Satkhira 3,Jatiya Party (JaPa),Md. Alip Hossain,722
Satkhira 3,Bangladesh Minority People’s Party (BMJP),Rubel Hossain,583
Satkhira 4,Bangladesh Jamaat-e-Islami (Jamaat),G. M. Nazrul Islam,106913
Satkhira 4,Bangladesh Nationalist Party (BNP),Md. Moniruzzaman,85426
Satkhira 4,Islami Andolan Bangladesh (IAB),S. M. Mostafa Al Mamun,4902
Satkhira 4,Jatiya Party (JaPa),Md. Abdur Rashid,1142
Joypurhat 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Fazlur Rahman Saeed,165192
Joypurhat 1,Bangladesh Nationalist Party (BNP),Md. Masud Rana Pradhan,155309
Joypurhat 1,Jatiya Party (JaPa),Sabekun Nahar,13286
Joypurhat 1,Bangladesh Socialist Party (Marxist),Taufika Dewan,617
Joypurhat 1,Bangladesh Socialist Party (BASAD),Md. Wazed Parvez,578
Joypurhat 2,Bangladesh Nationalist Party (BNP),Md. Abdul Bari,158065
Joypurhat 2,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Rashedul Alam,92517
Joypurhat 2,Amar Bangladesh Party (AB),S. A. Zahid,1555
Bogura 1,Bangladesh Nationalist Party (BNP),Kazi Rafiqul Islam,171440
Bogura 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahabuddin,57959
Bogura 1,Islami Andolan Bangladesh (IAB),A. B. M. Mostafa Kamal Pasha,1026
Bogura 1,Bangladesh Congress,Md. Asadul Haque,597
Bogura 1,Gono Forum (GF),Md. Zulfikar Ali,298
Bogura 2,Bangladesh Nationalist Party (BNP),Mir Shahe Alam,145024
Bogura 2,Bangladesh Jamaat-e-Islami (Jamaat),Abul Azad Mohammad Shahaduzzaman,93548
Bogura 2,Nagorik Oikya (NO),Mahmudur Rahman Manna,3426
Bogura 2,Islami Andolan Bangladesh (IAB),Md. Jamal Uddin,913
Bogura 2,Jatiya Party (JaPa),Shariful Islam Jinnah,434
Bogura 2,Gono Odhikar Parishad (GOP),Md. Selim Sarkar,274
Bogura 2,Independent Candidate (Independent),Md. Rezaul Karim Talu,183
Bogura 3,Bangladesh Nationalist Party (BNP),Md. Abdul Mohit Talukdar,127406
Bogura 3,Bangladesh Jamaat-e-Islami (Jamaat),Nur Mohammad,111026
Bogura 3,Islami Andolan Bangladesh (IAB),Md. Shahjahan Ali Talukdar,1789
Bogura 3,Jatiya Party (JaPa),Md. Shahinul Islam,1495
Bogura 4,Bangladesh Nationalist Party (BNP),Md. Mosharraf Hossain,155339
Bogura 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafa Faisal,108975
Bogura 4,Islami Andolan Bangladesh (IAB),Muhammad Idris Ali,2954
Bogura 4,Jatiya Party (JaPa),Shaheen Mostafa Kamal,1107
Bogura 5,Bangladesh Nationalist Party (BNP),Golam Mohammad Siraj,248841
Bogura 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Dabibur Rahman,143329
Bogura 5,Islami Andolan Bangladesh (IAB),Mir Md. Mahmudur Rahman,5558
Bogura 5,Communist Party of Bangladesh (CPB),Shipon Kumar Rabidas,1782
Bogura 5,Liberal Democratic Party (LDP),Khan Qudrat-e-Saklayen,1134
Bogura 6,Bangladesh Nationalist Party (BNP),Tarek Rahman,216284
Bogura 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abidur Rahman,97626
Bogura 6,Islami Andolan Bangladesh (IAB),Abu Numan Md. Mamunur Rashid,2508
Bogura 6,Bangladesh Socialist Party (BASAD),Dilruba,795
Bogura 6,Jatiya Samajtantrik Dal (JSD),Abdullah-al-Waki,276
Bogura 7,Bangladesh Nationalist Party (BNP),Morshed Milton,264212
Bogura 7,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,116665
Bogura 7,Islami Andolan Bangladesh (IAB),Md. Shafiqul Islam,2061
Bogura 7,Bangladesh Muslim League (BML),Md. Ansar Ali,536
Chapainawabganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Keramat Ali,206893
Chapainawabganj 1,Bangladesh Nationalist Party (BNP),Md. Shahjahan Mia,162515
Chapainawabganj 1,Jatiya Party (JaPa),Md. Afzal Hossain,2263
Chapainawabganj 1,Islami Andolan Bangladesh (IAB),Md. Monirul Islam,1083
Chapainawabganj 1,Bangladesh Cultural Liberation Front (Muktijot),Md. Abdul Halim,557
Chapainawabganj 1,Bangladesh Islami Front,Nawab Md. Shamsul Hoda,446
