seat_name,party,candidate,votes
Cumilla 3,Islami Andolan Bangladesh (IAB),Ahmed Abdul Qayyum,3593
Cumilla 3,Bangladesh Congress,Md. Khorshed Alam,717
Cumilla 3,Gono Odhikar Parishad (GOP),Moniruzzaman,633
Cumilla 3,Am Janata Party,Chowdhury Rakibul Haque,244
Cumilla 3,Insaniyat Biplob Bangladesh,Md. Sharif Uddin Sarkar,167
Cumilla 3,Nationalist Democratic Movement (NDM),Riyaz Md. Sharif,152
Cumilla 3,Bangladesh Republican Party (BRP),Md. Emdadul Haque,111
Cumilla 4,National Citizen Party (NCP),Md. Abul Hasnat,166583
Cumilla 4,Gono Odhikar Parishad (GOP),Md. A. Jasim Uddin,49885
Cumilla 4,Islami Andolan Bangladesh (IAB),Md. Abdul Karim,2232
Cumilla 4,Jatiya Party (JaPa),Irfanul Haque Sarkar,427
Cumilla 4,Khelafat Majlis,Mohammad Mojibur Rahman,248
Cumilla 5,Bangladesh Nationalist Party (BNP),Md. Jasim Uddin,134485
Cumilla 5,Bangladesh Jamaat-e-Islami (Jamaat),Mobarak Hossain,124547
Cumilla 5,Amar Bangladesh Party (AB),Zobaer Ahmed Bhuiyan,2029
Cumilla 5,Islami Andolan Bangladesh (IAB),Md. Rashedul Islam,1505
Cumilla 5,Jatiya Party (JaPa),Md. Emranul Haque,705
Cumilla 5,Communist Party of Bangladesh (CPB),Abdullah Al Qafi,342
Cumilla 5,Insaniyat Biplob Bangladesh,Tanzil Ahmed,167
Cumilla 5,Jatiya Samajtantrik Dal (JSD),Shirin Akter,153
Cumilla 5,Bangladesh Muslim League (BML),Abul Kalam Idris,147
Cumilla 5,National People's Party (NPP),Md. Abul Basar,104
Cumilla 6,Bangladesh Nationalist Party (BNP),Md. Monirul Haque Chowdhury,201706
Cumilla 6,Bangladesh Jamaat-e-Islami (Jamaat),Kazi Din Mohammad,119851
Cumilla 6,Bangladesh Islami Front,Md. Masum Billah Miazhi,4648
Cumilla 6,Islami Andolan Bangladesh (IAB),Mohammad Harunur Rashid,2476
Cumilla 6,Bangladesh Socialist Party (BASAD),Kamrun Nahar Sathi,515
Cumilla 6,Jatiya Samajtantrik Dal (JSD),Obaidul Kabir Mohon,453
Cumilla 6,Gono Odhikar Parishad (GOP),Mobarak Hossain,215
Cumilla 6,Bangladesh Cultural Liberation Front (Muktijot),Md. Amir Hossain Forayezi,153
Cumilla 7,Independent Candidate (Independent),Atikul Alam,91690
Cumilla 7,Bangladesh Nationalist Party (BNP),Redowan Ahmed,48509
Cumilla 7,Khelafat Majlis,Solaiman Khan,26319
Cumilla 7,Islami Andolan Bangladesh (IAB),Mawlana Ehteshamul Haque,14277
Cumilla 7,Bangladesh Cultural Liberation Front (Muktijot),Sajal Kumar Kar,261
Cumilla 8,Bangladesh Nationalist Party (BNP),Zakaria Taher,169178
Cumilla 8,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Alam Helal,45091
Cumilla 8,Bangladesh Supreme Party (BSP),Mohammad Golam Morshed,3224
Cumilla 8,Islami Andolan Bangladesh (IAB),Md. Golam Sadek,2273
Cumilla 8,Jatiya Party (JaPa),H. M. M. Irfan,727
Cumilla 8,Islamic Front Bangladesh (IFB),Abdul Qader,279
Cumilla 8,Bangladesh Republican Party (BRP),Md. Mofiz Uddin Ahmed,161
Cumilla 8,Bangladesh Socialist Party (BASAD),Md. Ali Ashraf,160
Cumilla 9,Bangladesh Nationalist Party (BNP),Md. Abul Kalam,170008
Cumilla 9,Bangladesh Jamaat-e-Islami (Jamaat),Syed A. K. M. Sarwar Uddin Siddiqui,118961
Cumilla 9,Islami Andolan Bangladesh (IAB),Selim Mahmud,7626
Cumilla 9,Islamic Front Bangladesh (IFB),Md. Abu Bakar Siddique,3919
Cumilla 9,Jatiya Party (JaPa),Md. Golam Mostafa Kamal,1216
Cumilla 9,Independent Candidate (Independent),Samira Azim,476
Cumilla 9,Independent Candidate (Independent),Md. Abul Kashem,335
Cumilla 9,Bangladesh Cultural Liberation Front (Muktijot),Md. Mizanur Rahman Chowdhury,124
Cumilla 10,Bangladesh Nationalist Party (BNP),Md. Mobasher Alam Bhuiyan,163667
Cumilla 10,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Yasin Arafat,123733
Cumilla 10,Islami Andolan Bangladesh (IAB),Md. Shamsuddoha,7959
Cumilla 10,Bangladesh Congress,Hasan Ahmed,400
Cumilla 10,Am Janata Party,Md. Abdullah Al Noman,373
Cumilla 10,Bangladesh Cultural Liberation Front (Muktijot),Kazi Nure Alam Siddiqui,322
Cumilla 10,Gono Odhikar Parishad (GOP),Ramiz Bin Arif,293
Cumilla 11,Bangladesh Jamaat-e-Islami (Jamaat),Syed Abdullah Mohammad Taher,133308
Cumilla 11,Bangladesh Nationalist Party (BNP),Md. Kamrul Huda,76638
Cumilla 11,Islami Andolan Bangladesh (IAB),Md. Mahiuddin (Shaheed),2766
Cumilla 11,Jatiya Party (JaPa),Md. Main Uddin,704
Cumilla 11,Bangladesh Congress,A. F. M. Abdur Rahim,194
Cumilla 11,Bangladesh Cultural Liberation Front (Muktijot),Mohammad Yusuf,186
Cumilla 11,Gono Front,Md. Alamgir,98
Chandpur 1,Bangladesh Nationalist Party (BNP),A. N. M. Ehsanul Haque Milon,133032
