constituency_id,seat_name,seat_name_bn,district_bn,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,winner_name,winner_party,winner_votes,winner_pct,runner_up_name,runner_up_party,runner_up_votes,margin,margin_pct,competitiveness,effective_num_candidates,Bangladesh Nationalist Party - BNP,Bangladesh Jamaat-e-Islami,Jatiyo Nagorik Party - NCP,Islamic Andolan Bangladesh,Bangladesh Khelafat Majlis,Jatiya Party,Khelafat Majlis,Gonodhikar Parishad - GOP,Jamiate Ulama-e-Islam Bangladesh,Bangladesh Islami Front,Liberal Democratic Party - LDP,Amar Bangladesh Party - AB Party,Bangladesh Development Party,Bangladesh Jatiya Party - BJP,Gonoshonghoti Andolon,Islamic Front Bangladesh,Communist Party of Bangladesh,Bangladesh Samajtantrik Dal - BASAD,Jonotar Dol,Biplabi Workers Party,Jatiya Samajtantrik Dal - JSD,Bangladesh Nezame Islam Party,National Party - JP,Insaniyat Biplob Bangladesh,Bangladesh Supreme Party - BSP,Zaker Party,Bangladesh Republican Party - BRP,Bangladesh Samajtantrik Dal (Marxist),Bangladesh Jatiyo Samajtantrik Dal - Jasod,Bangladesh Khilafat Andolan,Nagorik Oikko,Bangladesh Congress,Bangladesh Minority Janta Party - BMJP,Amjanatar Dol,National Peoples Party - NPP,Gonoforum,Bangladesh Labour Party,Bangladesh Muslim League,Bangladesh National Awami Party - Bangladesh NAP,Bangladesh Shanskritik Muktijot (Muktijot),Islami Oikyajote,Bangladesh Muslim League - BML,Jatiya Ganatantrik Party - JAGPA,Jatiyatabadi Ganotantrik Andolon - NDM,Bangladesh Nationalist Front - BNF,Bangladesh Jatiya Party,Gonofront,Bangladesh Kallyan Party,Ganotantri Party,Bangladesh Samadhikar Party - BEP
136,Tangail 7,টাংগাইল-৭,টাঙ্গাইল,370827,218252,213785,4467,152575,58.9,2.05,41.1,126,3,2943,141253,66.1,71040,33.2,0,0.0,0,0.0,0,0.0,0,0.0,1492,0.7,141253,66.1,71040,33.2,0,0.0,আবুল কালাম আজাদ সিদ্দিকী,Bangladesh Nationalist Party - BNP,141253,66.1,মোহাম্মদ আব্দুল্লাহ এবনে আবুল হোসেন,Bangladesh Jamaat-e-Islami,71040,70213,32.8,safe,1.83,141253,71040,,,,,,,,,,,,,,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,,,,,,,
137,Tangail 8,টাংগাইল-৮,টাঙ্গাইল,409308,248421,244697,3724,160887,60.7,1.5,39.3,131,6,3124,113721,46.5,53621,21.9,0,0.0,559,0.2,0,0.0,76468,31.3,328,0.1,113214,46.3,53621,21.9,0,0.0,আহমেদ আযম খান,Bangladesh Nationalist Party - BNP,113214,46.3,সালাউদ্দিন আলমগীর,Independent,76468,36746,15.0,competitive,2.78,113214,53621,,,,559,,,,,,,,,,,,,,507,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,
138,Jamalpur 1,জামালপুর-১,জামালপুর,428873,278717,274580,4137,150156,65.0,1.48,35.0,128,5,3351,172793,62.9,96783,35.2,0,0.0,914,0.3,0,0.0,0,0.0,4090,1.5,172568,62.8,96783,35.2,0,0.0,এম রশিদুজ্জামান মিল্লাত,Bangladesh Nationalist Party - BNP,172568,62.8,মুহাম্মদ নাজমুল হক সাঈদী,Bangladesh Jamaat-e-Islami,96783,75785,27.6,safe,1.93,172568,96783,,4090,,914,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Jamalpur 2,জামালপুর-২,জামালপুর,280142,161338,158900,2438,118804,57.6,1.51,42.4,92,4,3045,95378,60.0,61655,38.8,0,0.0,0,0.0,0,0.0,169,0.1,1698,1.1,95378,60.0,61655,38.8,0,0.0,"এ, ই, সুলতান মাহমুদ বাবু",Bangladesh Nationalist Party - BNP,95378,60.0,মোঃ ছামিউল হক,Bangladesh Jamaat-e-Islami,61655,33723,21.2,safe,1.96,95378,61655,,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Jamalpur 3,জামালপুর-৩,জামালপুর,534623,319386,312893,6493,215237,59.7,2.03,40.3,154,9,3472,207263,66.2,79607,25.4,0,0.0,832,0.3,0,0.0,22684,7.2,2507,0.8,206214,65.9,79607,25.4,0,0.0,মোঃ মোস্তাফিজুর রহমান বাবুল,Bangladesh Nationalist Party - BNP,206214,65.9,মোঃ মুজিবুর রহমান আজাদী,Bangladesh Jamaat-e-Islami,79607,126607,40.5,safe,1.99,206214,79607,,2507,,832,,409,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Jamalpur 4,জামালপুর-৪,জামালপুর,302556,197121,194048,3073,105435,65.2,1.56,34.8,88,6,3438,146925,75.7,44161,22.8,1300,0.7,0,0.0,0,0.0,0,0.0,1662,0.9,146546,75.5,44161,22.8,0,0.0,মোঃ ফরিদুল কবীর তালুকদার,Bangladesh Nationalist Party - BNP,146546,75.5,মোহাম্মদ আব্দুল আওয়াল,Bangladesh Jamaat-e-Islami,44161,102385,52.8,safe,1.61,146546,44161,,1287,,,,379,,,,,,,,,1300,,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,
142,Jamalpur 5,জামালপুর-৫,জামালপুর,572639,327248,320407,6841,245391,57.1,2.09,42.9,161,10,3557,198824,62.1,111695,34.9,540,0.2,3732,1.2,0,0.0,587,0.2,5029,1.6,198292,61.9,111695,34.9,0,0.0,শাহ মোঃ ওয়ারেছ আলী মামুন,Bangladesh Nationalist Party - BNP,198292,61.9,মুহাম্মদ আব্দুস সাত্তার,Bangladesh Jamaat-e-Islami,111695,86597,27.0,safe,1.98,198292,111695,,4242,,,,532,,,,,,,,,540,,,,569,,3732,,,,,,,,,218,,,,,,,,,,,,,,,,,,
143,Sherpur 1,শেরপুর-১,শেরপুর,445941,271907,266869,5038,174034,61.0,1.85,39.0,145,6,3075,77808,29.2,126393,47.4,0,0.0,735,0.3,0,0.0,61933,23.2,0,0.0,77808,29.2,125941,47.2,452,0.2,মোঃ রাশেদুল ইসলাম রাশেদ,Bangladesh Jamaat-e-Islami,125941,47.2,সানসিলা জেবরিন,Bangladesh Nationalist Party - BNP,77808,48133,18.0,competitive,2.77,77808,125941,452,,,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sherpur 2,শেরপুর-২,শেরপুর,435884,234757,229774,4983,201127,53.9,2.12,46.1,154,4,2830,117441,51.1,107586,46.8,0,0.0,0,0.0,0,0.0,0,0.0,4747,2.1,117441,51.1,106582,46.4,0,0.0,মোহাম্মদ ফাহিম চৌধুরী,Bangladesh Nationalist Party - BNP,117441,51.1,মোঃ গোলাম কিবরিয়া,Bangladesh Jamaat-e-Islami,106582,10859,4.7,very_close,2.1,117441,106582,,4747,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Mymensingh 1,ময়মনসিংহ-১,ময়মনসিংহ,480238,270509,264673,5836,209729,56.3,2.16,43.7,143,7,3358,101070,38.2,52879,20.0,389,0.1,0,0.0,0,0.0,107241,40.5,3094,1.2,101070,38.2,0,0.0,0,0.0,মোহাম্মদ সালমান ওমর,Independent,107241,40.5,সৈয়দ এমরান সালেহ,Bangladesh Nationalist Party - BNP,101070,6171,2.3,very_close,2.86,101070,,,3094,52607,,,,,,,,,,,,169,,,,,,,,,,,220,,,,,,,,,272,,,,,,,,,,,,,
