seat,party,ec_votes,our_votes,diff,diff_pct
Cox's Bazar 1,Bangladesh Jamaat-e-Islami,125311,129728,4417,3.5
Cox's Bazar 1,Bangladesh Nationalist Party - BNP,219758,222019,2261,1.0
Cox's Bazar 1,Islamic Andolan Bangladesh,4471,4528,57,1.3
Cox's Bazar 2,Bangladesh Jamaat-e-Islami,89817,91889,2072,2.3
Cox's Bazar 2,Bangladesh Nationalist Party - BNP,124660,125543,883,0.7
Cox's Bazar 2,Gonodhikar Parishad - GOP,193,197,4,2.1
Cox's Bazar 2,Islamic Andolan Bangladesh,8751,8799,48,0.5
Cox's Bazar 2,Jatiya Party,749,757,8,1.1
Cox's Bazar 3,Amjanatar Dol,361,367,6,1.7
Cox's Bazar 3,Bangladesh Jamaat-e-Islami,156019,161827,5808,3.7
Cox's Bazar 3,Bangladesh Labour Party,574,602,28,4.9
Cox's Bazar 3,Bangladesh Nationalist Party - BNP,180507,182096,1589,0.9
Cox's Bazar 3,Independent,937,947,10,1.1
Cox's Bazar 3,Islamic Andolan Bangladesh,5088,5149,61,1.2
Cox's Bazar 4,Bangladesh Jamaat-e-Islami,120096,122033,1937,1.6
Cox's Bazar 4,Bangladesh Nationalist Party - BNP,123021,123582,561,0.5
Cox's Bazar 4,Islamic Andolan Bangladesh,4293,4338,45,1.0
Cox's Bazar 4,Jatiyatabadi Ganotantrik Andolon - NDM,372,379,7,1.9
Cumilla 1,Amar Bangladesh Party - AB Party,511,511,0,0.0
Cumilla 1,Bangladesh Jamaat-e-Islami,90499,94845,4346,4.8
Cumilla 1,Bangladesh Jatiyo Samajtantrik Dal - Jasod,144,0,-144,-100.0
Cumilla 1,Bangladesh Nationalist Party - BNP,140305,141440,1135,0.8
Cumilla 1,Bangladesh Republican Party - BRP,403,411,8,2.0
Cumilla 1,Independent,404,406,2,0.5
Cumilla 1,Islamic Andolan Bangladesh,6389,6502,113,1.8
Cumilla 1,Jatiya Party,619,631,12,1.9
Cumilla 1,Jatiya Samajtantrik Dal - JSD,0,144,144,0
Cumilla 10,Amjanatar Dol,361,373,12,3.3
Cumilla 10,Bangladesh Congress,397,400,3,0.8
Cumilla 10,Bangladesh Jamaat-e-Islami,116150,123733,7583,6.5
Cumilla 10,Bangladesh Nationalist Party - BNP,161847,163667,1820,1.1
Cumilla 10,Bangladesh Shanskritik Muktijot (Muktijot),317,322,5,1.6
Cumilla 10,Gonodhikar Parishad - GOP,276,293,17,6.2
Cumilla 10,Islamic Andolan Bangladesh,7762,7959,197,2.5
