seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Kishoreganj 4,165,198151,197695,199878,-456,1727,8,8,Bangladesh Nationalist Party - BNP,131851,Md. Fazlur Rahman,132553,702
Kishoreganj 5,166,204948,206782,206782,1834,1834,8,8,Independent,79210,Sheikh Mujibur Rahman Iqbal,79604,394
Kishoreganj 6,167,235414,237990,237990,2576,2576,9,9,Bangladesh Nationalist Party - BNP,185795,Md. Shariful Alam,187159,1364
Manikganj 1,168,295005,298463,298463,3458,3458,7,7,Bangladesh Nationalist Party - BNP,136836,S. A. Jinnah Kabir,137773,937
Manikganj 2,169,265248,268235,268235,2987,2987,4,4,Bangladesh Nationalist Party - BNP,174631,Moinul Islam Khan,175776,1145
Manikganj 3,170,263154,266032,266032,2878,2878,9,9,Bangladesh Nationalist Party - BNP,166174,Afroza Khanam,167345,1171
Dhaka 1,174,294287,299523,299523,5236,5236,6,6,Bangladesh Nationalist Party - BNP,172402,Khondaker Abu Ashfaque,173781,1379
Dhaka 2,175,247976,250198,250198,2222,2222,3,3,Bangladesh Nationalist Party - BNP,163020,Md. Amanullah Aman,163793,773
Dhaka 3,176,189636,191109,191118,1473,1482,10,10,Bangladesh Nationalist Party - BNP,98785,Goyasawar Chandra Roy,99163,378
Dhaka 4,177,159538,162069,162069,2531,2531,8,8,Bangladesh Jamaat-e-Islami,75683,Sayed Joynul Abedin,77367,1684
Dhaka 5,178,198351,201370,201370,3019,3019,11,11,Bangladesh Jamaat-e-Islami,94668,Mohammed Kamal Hossain,96641,1973
Dhaka 6,179,135389,137179,137179,1790,1790,7,7,Bangladesh Nationalist Party - BNP,78142,Ishraque Hossain,78850,708
Dhaka 7,180,224226,226175,226175,1949,1949,11,11,Bangladesh Nationalist Party - BNP,104091,Hamidur Rahman,104666,575
Dhaka 8,181,111975,117667,117667,5692,5692,11,11,Bangladesh Nationalist Party - BNP,56552,Mirza Abbas Uddin Ahmed,59366,2814
Dhaka 9,182,214245,217688,217688,3443,3443,12,12,Bangladesh Nationalist Party - BNP,110111,Habibur Rashid,111212,1101
Dhaka 10,183,161920,157572,157572,-4348,-4348,10,11,Bangladesh Nationalist Party - BNP,79051,Sheikh Rabiul Alam,80436,1385
Dhaka 11,184,190053,192853,192853,2800,2800,10,10,National Citizens Party - NCP,92038,Md. Nahid Islam,93872,1834
Dhaka 12,185,119805,84736,122268,-35069,2463,15,15,Bangladesh Jamaat-e-Islami,52127,Md. Saiful Alam,53773,1646
Dhaka 13,186,174504,178267,178267,3763,3763,9,9,Bangladesh Nationalist Party - BNP,86804,Bobby Hajjaj,88387,1583
Dhaka 14,187,203584,206956,206956,3372,3372,12,12,Bangladesh Jamaat-e-Islami,98912,Mir Ahmad Bin Quasem,101113,2201
Dhaka 15,188,147593,152484,152484,4891,4891,8,8,Bangladesh Jamaat-e-Islami,82364,Md. Shafiqur Rahman,85131,2767
Dhaka 16,189,178063,180799,180799,2736,2736,11,11,Bangladesh Jamaat-e-Islami,87027,Md. Abdul Baten,88828,1801
Dhaka 17,190,142007,145677,145677,3670,3670,12,12,Bangladesh Nationalist Party - BNP,71443,Tarique Rahman,72699,1256
Dhaka 18,191,265383,269989,269989,4606,4606,10,10,Bangladesh Nationalist Party - BNP,143037,S. M. Jahangir Hossain,144715,1678
Dhaka 19,192,331585,314259,314259,-17326,-17326,8,8,Bangladesh Nationalist Party - BNP,191327,Dewan Mohammad Salauddin,190976,-351
Dhaka 20,193,229606,233380,233380,3774,3774,6,6,Bangladesh Nationalist Party - BNP,160428,Md. Tamiz Uddin,162504,2076
Gazipur 1,194,371557,374494,374494,2937,2937,8,8,Bangladesh Nationalist Party - BNP,207622,Md. Mojibur Rahman,208688,1066
Gazipur 2,195,348174,350983,350983,2809,2809,12,12,Bangladesh Nationalist Party - BNP,187558,M. Manjurul Karim Roni,188606,1048
Gazipur 3,196,293168,295692,295692,2524,2524,7,7,Bangladesh Nationalist Party - BNP,161258,S. M. Rafiqul Islam,162343,1085
