constituency_id,constituency_name,zilla_name,candidate_name,candidate_symbol,votes,total_centers,total_voters,valid_votes,rejected_votes,absent_voters
15,নীলফামারী-৪,নীলফামারী,মোঃ শহিদুল ইসলাম,হাতপাখা,8312,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,মোঃ রিয়াদ আরফান সরকার,ফুটবল,3786,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,জোবায়দুর রহমান (হীরা),ঘোড়া,995,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,মোঃ মাইদুল ইসলাম,কাঁচি,628,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,"এস,এম, মামুনুর রশিদ",মোটর সাইকেল,426,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,মির্জা মোঃ শওকত আকবর (রওশন),কাঁঠাল,95,169,448646,287879,6983,153784
16,লালমনিরহাট-১,লালমনিরহাট,মোঃ হাসান রাজীব প্রধান,ধানের শীষ,137677,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,মোঃ আনোয়ারুল ইসলাম রাজু,দাঁড়িপাল্লা,128332,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,শিহাব আহমেদ,ঘোড়া,7895,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,মোঃ মসিউর রহমান রাঙ্গাঁ,লাঙ্গল,5121,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,মুহাম্মদ ফজলুল করিম শাহারিয়া,হাতপাখা,2231,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,মোঃ রেজাউল করিম সরকার,মোটর সাইকেল,800,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,হাবিব মোঃ ফারুক,মোটরগাড়ি (কার),225,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,আবু সামা মোঃ রেদওয়ানুল হক,তালা,189,137,400305,282613,6145,111547
16,লালমনিরহাট-১,লালমনিরহাট,মোঃ শুভ আহমেদ,আনারস,143,137,400305,282613,6145,111547
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ রোকন উদ্দীন বাবুল,ধানের শীষ,123343,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ ফিরোজ হায়দার,দাঁড়িপাল্লা,116236,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ শামীম কামাল,কলম,19939,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ মাহফুজুর রহমান,হাতপাখা,6921,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ মমতাজ আলী,মোটর সাইকেল,3484,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,নিমাই চন্দ্র রায়,কাস্তে,1074,155,430343,271796,5666,152881
17,লালমনিরহাট-২,লালমনিরহাট,মোঃ এলাহান উদ্দিন,লাঙ্গল,799,155,430343,271796,5666,152881
18,লালমনিরহাট-৩,লালমনিরহাট,আসাদুল হাবিব দুলু,ধানের শীষ,138691,94,305835,201051,3874,100910
18,লালমনিরহাট-৩,লালমনিরহাট,মোঃ আবু তাহের,দাঁড়িপাল্লা,55671,94,305835,201051,3874,100910
18,লালমনিরহাট-৩,লালমনিরহাট,মোঃ আমিনুল ইসলাম,হাতপাখা,3268,94,305835,201051,3874,100910
18,লালমনিরহাট-৩,লালমনিরহাট,মোঃ জাহিদ হাসান,লাঙ্গল,2133,94,305835,201051,3874,100910
