seat_name,candidate,party,votes
Barishal 2,Sardar Sarfuddin Ahmed,Bangladesh Nationalist Party (BNP),141622
Barishal 2,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),74082
Barishal 3,Zainul Abedin,Bangladesh Nationalist Party (BNP),80930
Barishal 3,Mohammad Asaduzzaman Bhuiyan,Amar Bangladesh Party (AB),61192
Barishal 4,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322
Barishal 4,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684
Barishal 5,Md. Mujibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146
Barishal 5,Mufti Syed Md. Faizul Karim,Islami Andolan Bangladesh (IAB),95044
Barishal 6,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217
Barishal 6,Md. Mahmudunnabi,Bangladesh Jamaat-e-Islami (Jamaat),55988
Jhalokathi 1,Rafiqul Islam Jamal,Bangladesh Nationalist Party (BNP),62010
Jhalokathi 1,Faizul Haque,Bangladesh Jamaat-e-Islami (Jamaat),55120
Jhalokathi 2,Israt Sultana Ilein Bhutto,Bangladesh Nationalist Party (BNP),113419
Jhalokathi 2,SM Neyamul Karim,Bangladesh Jamaat-e-Islami (Jamaat),70556
Pirojpur 1,Masood Saidi,Bangladesh Jamaat-e-Islami (Jamaat),132659
Pirojpur 1,Alamgir Hossain,Bangladesh Nationalist Party (BNP),107105
Pirojpur 2,Ahmad Sohail Manzoor,Bangladesh Nationalist Party (BNP),105185
Pirojpur 2,Shamim Saidi,Bangladesh Jamaat-e-Islami (Jamaat),96897
Pirojpur 3,Md. Ruhul Amin Dulal,Bangladesh Nationalist Party (BNP),63791
Pirojpur 3,Md. Shamim Hamidi,National Citizen Party (NCP),36616
Tangail 1,Fakir Mahbub Anam,Bangladesh Nationalist Party (BNP),153932
Tangail 1,Muhammad Abdullah Kafi,Bangladesh Jamaat-e-Islami (Jamaat),94462
Tangail 2,Md. Abdus Salam Pintu,Bangladesh Nationalist Party (BNP),198213
Tangail 2,Md. Humayun Kabir,Bangladesh Jamaat-e-Islami (Jamaat),60871
Tangail 3,Md. Lutfar Rahman Khan Azad,Independent Candidate (Independent),107901
Tangail 3,SM Obaidul Haque,Bangladesh Nationalist Party (BNP),82769
Tangail 4,Md. Lutfar Rahman,Bangladesh Nationalist Party (BNP),105342
Tangail 4,Abdul Latif Siddiqui,Independent Candidate (Independent),62509
Tangail 5,Sultan Saladin Tuku,Bangladesh Nationalist Party (BNP),131279
Tangail 5,Ahsan Habib,Bangladesh Jamaat-e-Islami (Jamaat),80283
Tangail 6,Md Rabiul Awal,Bangladesh Nationalist Party (BNP),150952
Tangail 6,"AK, M Abdul Hamid",Bangladesh Jamaat-e-Islami (Jamaat),91914
Tangail 7,Abul Kalam Azad Siddiqui,Bangladesh Nationalist Party (BNP),141253
Tangail 7,Mohammad Abdullah ibn Abul Hossain,Bangladesh Jamaat-e-Islami (Jamaat),71040
Tangail 8,Ahmed Azam Khan,Bangladesh Nationalist Party (BNP),114217
Tangail 8,Salahuddin Alamgir,Independent Candidate (Independent),77130
Jamalpur 1,M Rashiduzzaman Millat,Bangladesh Nationalist Party (BNP),173656
Jamalpur 1,Muhammad Nazmul Haque Saeedee,Bangladesh Jamaat-e-Islami (Jamaat),97820
Jamalpur 2,"A, E, Sultan Mahmud Babu",Bangladesh Nationalist Party (BNP),95860
Jamalpur 2,Md. Shamiul Haque,Bangladesh Jamaat-e-Islami (Jamaat),62434
Jamalpur 3,Md. Mostafizur Rahman Babul,Bangladesh Nationalist Party (BNP),207412
Jamalpur 3,Md. Mujibur Rahman Azadi,Bangladesh Jamaat-e-Islami (Jamaat),81430
Jamalpur 4,Md. Faridul Kabir Talukder,Bangladesh Nationalist Party (BNP),147406
Jamalpur 4,Mohammad Abdul Awal,Bangladesh Jamaat-e-Islami (Jamaat),44947
Jamalpur 5,Shah Md Waresh Ali Mamun,Bangladesh Nationalist Party (BNP),199344
Jamalpur 5,Muhammad Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),113201
Sherpur 1,Md. Rashedul Islam Rashed,Bangladesh Jamaat-e-Islami (Jamaat),127811
Sherpur 1,Sansila Zebrin,Bangladesh Nationalist Party (BNP),78342
Sherpur 2,Mohammad Fahim Chowdhury,Bangladesh Nationalist Party (BNP),118472
Sherpur 2,Md Golam Kibria,Bangladesh Jamaat-e-Islami (Jamaat),108335
