seat,rule,merged_name,merged_source,merged_party,merged_votes,into_name,into_sources,into_party,into_votes,similarity,note
Barguna 2,1,Md. Nurul Islam,bss,Bangladesh Nationalist Party (BNP),bss=90643,Md. Nurul Islam,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=90643; tbs=90643,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Nurul Islam,dt,Bangladesh Nationalist Party (BNP),dt=90643,Md. Nurul Islam,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=90643; ds=90643; tbs=90643,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Mizanur Rahman,ds,Islami Andolan Bangladesh (IAB),ds=16463,Md. Mizanur Rahman,tbs,Islami Andolan Bangladesh (IAB),tbs=16463,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Mizanur Rahman,dt,Islami Andolan Bangladesh (IAB),dt=16463,Md. Mizanur Rahman,"ds,tbs",Islami Andolan Bangladesh (IAB),ds=16463; tbs=16463,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Sabbir Ahmed,ds,Bangladesh Congress,ds=0,Md. Sabbir Ahmed,tbs,Bangladesh Congress,tbs=219,1.00,name+party match (sim=1.00)
Barguna 2,1,Md. Sabbir Ahmed,dt,Bangladesh Congress,dt=219,Md. Sabbir Ahmed,"ds,tbs",Bangladesh Congress,ds=0; tbs=219,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Kamruzzaman Liton,ds,Bangladesh Jatiya Party (BJP),ds=0,Md. Kamruzzaman Liton,tbs,Bangladesh Jatiya Party (BJP),tbs=115,1.00,name+party match (sim=1.00)
Barguna 2,1,Md. Kamruzzaman Liton,dt,Bangladesh Jatiya Party (BJP),dt=115,Md. Kamruzzaman Liton,"ds,tbs",Bangladesh Jatiya Party (BJP),ds=0; tbs=115,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Abdul Latif Farazi,ds,Jatiya Party (JaPa),ds=0,Abdul Latif Faraji,tbs,Jatiya Party (JaPa),tbs=1248,0.94,name+party match (sim=0.94)
Barguna 2,1,Abdul Latif Farazi,dt,Jatiya Party (JaPa),dt=1248,Abdul Latif Faraji,"ds,tbs",Jatiya Party (JaPa),ds=0; tbs=1248,0.94,name+party match (sim=0.94) [vote-boosted]
Barguna 2,1,Syed Md. Nazis Afroz,ds,Nationalist Democratic Movement (NDM),ds=0,Md. Najes Afroze,tbs,Nationalist Democratic Movement (NDM),tbs=294,0.74,name+party match (sim=0.74)
Barguna 2,1,Syed Md. Najesh Afroz,dt,Nationalist Democratic Movement (NDM),dt=294,Syed Md. Nazis Afroz,"ds,tbs",Nationalist Democratic Movement (NDM),ds=0; tbs=294,0.88,name+party match (sim=0.88) [vote-boosted]
Barguna 2,1,Sultan Ahmed,ds,Bangladesh Jamaat-e-Islami (Jamaat),ds=85247,Sultan Ahmed,tbs,Bangladesh Jamaat-e-Islami (Jamaat),tbs=85247,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Dr. Sultan Ahmad,bss,Bangladesh Jamaat-e-Islami (Jamaat),bss=85247,Sultan Ahmed,"ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),ds=85247; tbs=85247,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Dr. Sultan Ahmed,dt,Bangladesh Jamaat-e-Islami (Jamaat),dt=85247,Dr. Sultan Ahmad,"bss,ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),bss=85247; ds=85247; tbs=85247,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Solaiman,ds,National People's Party (NPP),ds=0,Md. Solaiman,tbs,National People's Party (NPP),tbs=95,1.00,name+party match (sim=1.00)
Barguna 2,1,Md. Solaiman,dt,National People's Party (NPP),dt=95,Md. Solaiman,"ds,tbs",National People's Party (NPP),ds=0; tbs=95,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 2,1,Md. Rashed Ud Zaman,ds,Independent Candidate (Independent),ds=0,Md. Rashed Ud Zaman,tbs,Independent Candidate (Independent),tbs=298,1.00,name+party match (sim=1.00)
Barguna 2,1,Md. Rashed Ud Zaman,dt,Independent Candidate (Independent),dt=298,Md. Rashed Ud Zaman,"ds,tbs",Independent Candidate (Independent),ds=0; tbs=298,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Md. Kamrul Islam Khan,ds,Bangladesh Jamaat-e-Islami (Jamaat),ds=46263,Md. Kamrul Islam Khan,tbs,Bangladesh Jamaat-e-Islami (Jamaat),tbs=46263,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Md. Kamrul Islam Khan,bss,Bangladesh Jamaat-e-Islami (Jamaat),bss=46263,Md. Kamrul Islam Khan,"ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),ds=46263; tbs=46263,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Md. Kamrul Islam Khan,dt,Bangladesh Jamaat-e-Islami (Jamaat),dt=46263,Md. Kamrul Islam Khan,"bss,ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),bss=46263; ds=46263; tbs=46263,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Zahir Uddin Swapan,ds,Bangladesh Nationalist Party (BNP),ds=100552,Zahir Uddin Swapon,tbs,Bangladesh Nationalist Party (BNP),tbs=100552,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Zahir Uddin Swapan,bss,Bangladesh Nationalist Party (BNP),bss=100522,Zahir Uddin Swapon,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=100552; tbs=100552,1.00,name+party match (sim=1.00)
Barishal 1,1,Zahir Uddin Swapan,dt,Bangladesh Nationalist Party (BNP),dt=100552,Zahir Uddin Swapon,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=100522; ds=100552; tbs=100552,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Abdus Sobhan,ds,Independent Candidate (Independent),ds=0,Abdus Sobhan,tbs,Independent Candidate (Independent),tbs=44188,1.00,name+party match (sim=1.00)
Barishal 1,1,Abdus Sobhan,dt,Independent Candidate (Independent),dt=44188,Abdus Sobhan,"ds,tbs",Independent Candidate (Independent),ds=0; tbs=44188,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 1,1,Md. Russell Sardar,ds,Islami Andolan Bangladesh (IAB),ds=0,Md. Rasel Sardar,tbs,Islami Andolan Bangladesh (IAB),tbs=6846,0.90,name+party match (sim=0.90)
Barishal 1,1,Md. Rasel Sardar,dt,Islami Andolan Bangladesh (IAB),dt=6846,Md. Russell Sardar,"ds,tbs",Islami Andolan Bangladesh (IAB),ds=0; tbs=6846,0.90,name+party match (sim=0.90) [vote-boosted]
Barishal 1,1,Sernabiat Sekandar Ali,ds,Jatiya Party (Manju) (JP–Manju),ds=0,Cherniabat Sekandar Ali,tbs,Jatiya Party (Manju) (JP–Manju),tbs=1736,0.89,name+party match (sim=0.89)
Barishal 1,2,Sher-e-Niabath Sekendar Ali,dt,Jatiya Party (JaPa),dt=1736,Cherniabat Sekandar Ali,"ds,tbs",Jatiya Party (Manju) (JP–Manju),ds=0; tbs=1736,0.88,"name+votes match, party differs: Jatiya Party (JaPa) → Jatiya Party (Manju) (JP–Manju)"
Barishal 2,1,Sardar Sarfuddin Ahmed,ds,Bangladesh Nationalist Party (BNP),ds=141622,Sardar Sarfuddin Ahmed,tbs,Bangladesh Nationalist Party (BNP),tbs=141622,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 2,1,Sardar Sarfuddin Ahmed,bss,Bangladesh Nationalist Party (BNP),bss=141622,Sardar Sarfuddin Ahmed,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=141622; tbs=141622,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 2,1,Sardar Sarfuddin Ahmed,dt,Bangladesh Nationalist Party (BNP),dt=141622,Sardar Sarfuddin Ahmed,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=141622; ds=141622; tbs=141622,1.00,name+party match (sim=1.00) [vote-boosted]
Barishal 2,1,Md. Nesar Uddin,ds,Islami Andolan Bangladesh (IAB),ds=0,Md. Nesar Uddin,tbs,Islami Andolan Bangladesh (IAB),tbs=6021,1.00,name+party match (sim=1.00)
