seat_name,candidate,party,votes
Gaibandha 5,Md. Faruk Alam Sarkar,Bangladesh Nationalist Party (BNP),73483
Joypurhat 1,Md. Wazed Parvej,Bangladesh Samajtantrik Dal (Basad),578
Joypurhat 1,Towfika Dewan,Socialist Party of Bangladesh (Marxist) (SPB-M),617
Joypurhat 1,Md. Fazlur Rahman Sayed,Bangladesh Jamaat-e-Islami (Jamaat),165192
Joypurhat 1,Md. Masud Rana Prodhan,Bangladesh Nationalist Party (BNP),155309
Joypurhat 1,Sabekun Nahar,Independent Candidate (Independent),13286
Joypurhat 2,S. A. Zahid,Amar Bangladesh Party (AB),1555
Joypurhat 2,S. M. Rashedul Alam,Bangladesh Jamaat-e-Islami (Jamaat),92517
Joypurhat 2,Md. Abdul Bari,Bangladesh Nationalist Party (BNP),158065
Bogura 1,Abm Mostofa Kamal Pasha,Islami Andolan Bangladesh (IAB),1026
Bogura 1,Kazi Rafiqul Islam,Bangladesh Nationalist Party (BNP),171440
Bogura 1,Md. Zulfiqar Ali,Gono Forum (GF),298
Bogura 1,Md. Shahabuddin,Bangladesh Jamaat-e-Islami (Jamaat),57959
Bogura 1,Md. Asadul Haque,Bangladesh Congress,597
Bogura 2,Abul Azad Md. Shaduzzam,Bangladesh Jamaat-e-Islami (Jamaat),93548
Bogura 2,Mir Shahe Alam,Bangladesh Nationalist Party (BNP),145137
Bogura 2,Md. Jamal Uddin,Islami Andolan Bangladesh (IAB),913
Bogura 2,Md. Rezaul Karim Talu,Independent Candidate (Independent),183
Bogura 2,Md. Selim Sarkar,Gono Odhikar Parishad (GOP),274
Bogura 2,Shariful Islam Jinnah,Jatiya Party (JaPa),434
Bogura 2,Mahmudur Rahman Manna,Nagorik Oikya (NO),3426
Bogura 3,Nur Mohhammad,Bangladesh Jamaat-e-Islami (Jamaat),111026
Bogura 3,Md. Abdul Muhit Talukdar,Bangladesh Nationalist Party (BNP),127406
Bogura 3,Md. Shahjahan Ali Talukdar,Islami Andolan Bangladesh (IAB),1789
Bogura 3,Md. Shahinul Islam,Jatiya Party (JaPa),1495
Bogura 4,Muha. Idris Ali,Islami Andolan Bangladesh (IAB),2954
Bogura 4,Md. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),155339
Bogura 4,Md. Mostafa Faisal,Bangladesh Jamaat-e-Islami (Jamaat),108978
Bogura 4,Shaheen Mostafa Kamal,Jatiya Party (JaPa),1107
Bogura 5,Khan Qudrat E Sakrain,Bangladesh Liberal Democratic Party (LDP),1134
Bogura 5,Golam Md. Siraj,Bangladesh Nationalist Party (BNP),248841
Bogura 5,Mir Md. Mahmudur Rahman,Islami Andolan Bangladesh (IAB),5558
Bogura 5,Md. Dabibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),143329
Bogura 5,Shipon Kumar Rabidas,Communist Party of Bangladesh (CPB),1782
Bogura 6,Abdullah Al Waki,Jatiya Samajtantrik Dal (JSD),276
Bogura 6,Abu Numan Md. Mamunur Rashid,Islami Andolan Bangladesh (IAB),2508
Bogura 6,Dilruba,Bangladesh Samajtantrik Dal (Basad),795
Bogura 6,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),97626
Bogura 6,Tarique Rahman,Bangladesh Nationalist Party (BNP),216284
Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),264212
Bogura 7,Md. Ansar Ali,Bangladesh Muslim League (BML),536
Bogura 7,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),116665
Bogura 7,Md. Shafiqul Islam,Islami Andolan Bangladesh (IAB),2061
Chapainawabganj 1,Nabab Md. Shamsul Hoda,Bangladesh Islami Front (BIF),446
Chapainawabganj 1,Moha. Afzal Hossain,Jatiya Party (JaPa),2263
Chapainawabganj 1,Md. Abdul Halim,Bangladesh Sangskritik Muktijote (BSM),557
Chapainawabganj 1,Md. Keramat Ali,Bangladesh Jamaat-e-Islami (Jamaat),206893
Chapainawabganj 1,Md. Monirul Islam,Islami Andolan Bangladesh (IAB),1083
Chapainawabganj 1,Md. Shahjahan Mia,Bangladesh Nationalist Party (BNP),162515
Chapainawabganj 2,Mu. Khurshid Alam,Jatiya Party (JaPa),8175
Chapainawabganj 2,Mu.Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171227
Chapainawabganj 2,Md. Aminul Islam,Bangladesh Nationalist Party (BNP),155119
Chapainawabganj 2,Md. Ibrahim Khalil,Islami Andolan Bangladesh (IAB),1069
Chapainawabganj 2,Md. Sadekul Isalm,Communist Party of Bangladesh (CPB),626
Chapainawabganj 3,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),189640
Chapainawabganj 3,Md. Fazlul Islam Khan,Jatiya Samajtantrik Dal (JSD),637
Chapainawabganj 3,Md. Monirul Islam,Islami Andolan Bangladesh (IAB),820
Chapainawabganj 3,Md. Shofiqul Islam,Gono Odhikar Parishad (GOP),361
Chapainawabganj 3,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),127037
Naogaon 1,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),153816
Naogaon 1,Md. Akber Ali,Jatiya Party (JaPa),4243
Naogaon 1,Md. A. H. Shah,Islami Andolan Bangladesh (IAB),9058
Naogaon 1,Md. Shalek Chowdhury,Independent Candidate (Independent),18088
Naogaon 1,Md. Mostafizur Rahman,Bangladesh Nationalist Party (BNP),173864
Naogaon 2,Md. Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),141526
Naogaon 2,Md. Matibul Islam,Amar Bangladesh Party (AB),2680
Naogaon 2,Md. Samsujjoha Khan,Bangladesh Nationalist Party (BNP),134533
Naogaon 3,Kalipada Sarkar,Bangladesh Samajtantrik Dal (Basad),1233
Naogaon 3,Nasir Bin Asgar,Islami Andolan Bangladesh (IAB),3643
Naogaon 3,Parvez Arefin Siddiqui,Independent Candidate (Independent),17129
Naogaon 3,Md. Fazle Huda,Bangladesh Nationalist Party (BNP),166889
Naogaon 3,Md. Masud Rana,Jatiya Party (JaPa),4869
Naogaon 3,Md. Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),119421
Naogaon 3,Md. Saddam Hossain,Independent Candidate (Independent),823
Naogaon 3,Abdullah Al Mamun Soikot,Bangladesh Nationalist Front (BNF),195
Naogaon 4,Ekramul Bari Tipu,Bangladesh Nationalist Party (BNP),133928
Naogaon 4,S. M. Fazlur Rahman,Communist Party of Bangladesh (CPB),2313
Naogaon 4,Md. Abdur Rakib,Bangladesh Jamaat-e-Islami (Jamaat),97585
Naogaon 4,Md. Altaf Hossain,Jatiya Party (JaPa),1327
Naogaon 4,Sohrab Hossain,Islami Andolan Bangladesh (IAB),609
Naogaon 4,Mst. Arfana Begum,Independent Candidate (Independent),712
Naogaon 5,Abu Sadat Md. Sayem,Bangladesh Jamaat-e-Islami (Jamaat),104747
Naogaon 5,Md. Anwar Hossain,Jatiya Party (JaPa),2176
Naogaon 5,Md. Abdur Rahman,Islami Andolan Bangladesh (IAB),4101
Naogaon 5,Md. Zahidul Islam Dhalu,Bangladesh Nationalist Party (BNP),129385
Naogaon 5,Shafiqul Islam,Communist Party of Bangladesh (CPB),741
Naogaon 6,Atikur Rahman Ratan Molla,Bangladesh Republican Party (BRP),555
Naogaon 6,Alamgir Kabir,Independent Candidate (Independent),19638
Naogaon 6,Md. Khobirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),97629
Naogaon 6,Md. Rafiqul Islam,Islami Andolan Bangladesh (IAB),1833
Naogaon 6,Sheikh Md. Rezaul Islam,Bangladesh Nationalist Party (BNP),108866
Rajshahi 1,Md. Al Saad,Independent Candidate (Independent),663
Rajshahi 1,Mir Md. Shahjahan,Gono Odhikar Parishad (GOP),407
Rajshahi 1,Md. Sharif Uddin,Bangladesh Nationalist Party (BNP),169902
Rajshahi 1,Md. Mujibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171786
Rajshahi 1,Md. Abdur Rahman,Amar Bangladesh Party (AB),1100
Rajshahi 2,Md. Shamsul Alam,Nagorik Oikya (NO),552
Rajshahi 2,Md. Mizanur Rahman Minu,Bangladesh Nationalist Party (BNP),128546
Rajshahi 2,Md. Jahangir,Bangladesh Jamaat-e-Islami (Jamaat),100370
Rajshahi 2,Saleh Ahmed,Independent Candidate (Independent),801
Rajshahi 2,Mu Saeed Noman,Amar Bangladesh Party (AB),796
Rajshahi 3,Md. Afzal Hossain,Jatiya Party (JaPa),2390
Rajshahi 3,Md. Shafiqul Haque Milon,Bangladesh Nationalist Party (BNP),176318
Rajshahi 3,Md. Fazlur Rahman,Islami Andolan Bangladesh (IAB),1154
Rajshahi 3,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),137927
Rajshahi 3,Mst. Habiba Begum,Independent Candidate (Independent),1177
Rajshahi 4,D. M. D. Ziaur Rahman,Bangladesh Nationalist Party (BNP),109461
Rajshahi 4,Md. Abdul Bari Sardar,Bangladesh Jamaat-e-Islami (Jamaat),115226
Rajshahi 4,Md. Tajul Islam Khan,Islami Andolan Bangladesh (IAB),670
Rajshahi 4,Md. Fazlul Haque,Jatiya Party (JaPa),1759
Rajshahi 5,Md. Altaf Hossain Molla,Bangladesh Supreme Party (BSP),938
Rajshahi 5,Prof. Nazrul Islam,Bangladesh Nationalist Party (BNP),153425
Rajshahi 5,Md. Ruhul Amin,Islami Andolan Bangladesh (IAB),620
Rajshahi 5,Md. Raihan Kawsar,Independent Candidate (Independent),442
Rajshahi 5,Md. Isfa Khairul Haque,Independent Candidate (Independent),2496
Rajshahi 5,Manjur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),73445
Rajshahi 5,Rezaul Karim,Independent Candidate (Independent),6432
Rajshahi 6,Abu Sayed Chand,Bangladesh Nationalist Party (BNP),148672
Rajshahi 6,Md. Iqbal Hossain,Jatiya Party (JaPa),2930
Rajshahi 6,Md. Nazmul Haque,Bangladesh Jamaat-e-Islami (Jamaat),92965
Rajshahi 6,Abdus Salam Suruj,Islami Andolan Bangladesh (IAB),1628
Natore 1,Md. Mehedi Hasan,Gono Odhikar Parishad (GOP),298
Natore 1,Md. Yasir Arshad,Independent Candidate (Independent),80
Natore 1,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),90568
Natore 1,Farzana Sharmin,Bangladesh Nationalist Party (BNP),102726
Natore 1,Taiful Islam Tipu,Independent Candidate (Independent),73173
Natore 1,Abdullah Hil Baki,Islami Andolan Bangladesh (IAB),1269
Natore 1,Md. . Shahed Ali Jinnah,Jatiya Party (JaPa),552
Natore 1,Md. Moazzem Hossain,Independent Candidate (Independent),115
Natore 2,M. Ruhul Quddus Talukder Dulu,Bangladesh Nationalist Party (BNP),162841
Natore 2,Tahamida Islam Tania,Ganosanhati Andolan (GSA),464
Natore 2,Md. Yunus Ali,Bangladesh Jamaat-e-Islami (Jamaat),130066
Natore 2,Md. Nurunnabi Mridha,Independent Candidate (Independent),621
Natore 2,Md. Rakib Uddin,Jatiya Party (JaPa),2587
Natore 2,Md. Ali Siddiqui,Islami Andolan Bangladesh (IAB),2757
Natore 3,S. M. Jarjis Kadir,National Citizen Party (NCP),20707
Natore 3,Md. Anwarul Islam,Bangladesh Nationalist Party (BNP),119768
Natore 3,Md. Ashik Iqbal,Jatiya Party (JaPa),2119
Natore 3,Md. Khalilur Rahman,Islami Andolan Bangladesh (IAB),19105
Natore 3,Md. Delowar Hossain,Independent Candidate (Independent),372
Natore 3,Md. Daudar Mahmud,Independent Candidate (Independent),66492
Natore 4,Md. Abdul Aziz,Bangladesh Nationalist Party (BNP),170551
Natore 4,Md. Abdul Hakim,Bangladesh Jamaat-e-Islami (Jamaat),135386
Natore 4,Md. Emdadullah,Islami Andolan Bangladesh (IAB),3845
Natore 4,Md. Mokshedul Momin,Amar Bangladesh Party (AB),259
Natore 4,M. Yusuf Ahmed,Jatiya Party (JaPa),2799
Sirajganj 1,Md. Selim Reza,Bangladesh Nationalist Party (BNP),115132
Sirajganj 1,Md. Nazmus Sakib,Nagorik Oikya (NO),321
Sirajganj 1,Md. Zahurul Islam,Jatiya Party (JaPa),2234
Sirajganj 1,Md. Shahinur Alam,Bangladesh Jamaat-e-Islami (Jamaat),106732
Sirajganj 1,Md. Abdus Sabur,Independent Candidate (Independent),263
Sirajganj 1,Mst. Mallika Khatun,Gono Odhikar Parishad (GOP),1170
Sirajganj 2,Iqbal Hasan Mahmud,Bangladesh Nationalist Party (BNP),177578
Sirajganj 2,S. M. Abdullah Al Mamun,Bangladesh Samajtantrik Dal (Basad),864
Sirajganj 2,Md. Sohel Rana,Janotar Dol,181
Sirajganj 2,Md. Mahfuzur Rahman,Gono Odhikar Parishad (GOP),410
Sirajganj 2,Md. Jahidul Islam,Bangladesh Jamaat-e-Islami (Jamaat),138797
Sirajganj 2,Md. Mohibullah,Islami Andolan Bangladesh (IAB),2167
Sirajganj 2,Md. Anwar Hossain,Communist Party of Bangladesh (CPB),769
Sirajganj 3,Md. Fazlul Haque,Jatiya Party (JaPa),1658
Sirajganj 3,Md. Aynul Haque,Bangladesh Nationalist Party (BNP),174430
Sirajganj 3,Muha. Abdur Rouf Sarkar,Khelafat Majlis,116802
Sirajganj 3,Md. Elias Reza Robin,Independent Candidate (Independent),1006
Sirajganj 4,Md. Rafiqul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),161872
Sirajganj 4,M. Akbar Ali,Bangladesh Nationalist Party (BNP),161278
Sirajganj 5,Md. Motiar Rahman,Communist Party of Bangladesh (CPB),328
Sirajganj 5,Md. Akbar Hossain,Jatiya Party (JaPa),1224
Sirajganj 5,Md. Amirul Islam Khan,Bangladesh Nationalist Party (BNP),134989
Sirajganj 5,Nurun Nabi,Islami Andolan Bangladesh (IAB),5759
Sirajganj 5,Md. Yusuf Ali,Gono Odhikar Parishad (GOP),235
Sirajganj 5,Md. Ali Alam,Bangladesh Jamaat-e-Islami (Jamaat),106805
Sirajganj 6,M. A. Muhit,Bangladesh Nationalist Party (BNP),171508
Sirajganj 6,S. M. Saif Mostafiz,National Citizen Party (NCP),103884
Pabna 1,Md. Shamsur Rahman,Bangladesh Nationalist Party (BNP),104245
Pabna 1,Md. Nazibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),129974
Pabna 1,Md. Abdul Gani,Islami Andolan Bangladesh (IAB),1114
Pabna 1,Md. Tajul Islam,Independent Candidate (Independent),1033
Pabna 2,Sheikh Nasir Uddin,Gono Forum (GF),333
Pabna 2,Md. Mehedi Hasan Rubel,Jatiya Party (JaPa),2260
Pabna 2,Md. Hesab Uddin,Bangladesh Jamaat-e-Islami (Jamaat),77242
Pabna 2,Md. Afzal Hossain Khan Kashemi,Islami Andolan Bangladesh (IAB),5884
Pabna 2,A. K. M. Selim Reza Habib,Bangladesh Nationalist Party (BNP),215406
Pabna 3,K. M. Anwarul Islam,Independent Candidate (Independent),38027
Pabna 3,Md. Hasanul Islam,Gono Odhikar Parishad (GOP),986
Pabna 3,Md. Abdul Khalek,Islami Andolan Bangladesh (IAB),1769
Pabna 3,Md. Mahbubur Rahman Joy Chowdhury,Bangladesh Supreme Party (BSP),1420
Pabna 3,Md. Ali Asgar,Bangladesh Jamaat-e-Islami (Jamaat),147475
Pabna 3,Md. Hasan Zafir Tuhin,Bangladesh Nationalist Party (BNP),144206
Pabna 3,Sardar Asha Parvez,Gono Forum (GF),173
Pabna 3,Mir Nadim Md. Dablu,Jatiya Party (JaPa),1072
Pabna 4,Md. Sohag Hosen,Communist Party of Bangladesh (CPB),459
Pabna 4,Md. Zakaria Pintu,Independent Candidate (Independent),27970
