seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Bhola 1,Md. Ainur Rahman (Jewel) Mia,Gono Odhikar Parishad (GOP),1103,3,"ds,dt,tbs",ds=0; dt=1103; tbs=1103,
Bhola 1,Md. Akbar Hossain,Jatiya Party (JaPa),599,3,"ds,dt,tbs",ds=0; dt=599; tbs=599,
Bhola 1,Mohammad Ashraf Ali,Bangladesh Islami Front (BIF),303,3,"ds,dt,tbs",ds=0; dt=303; tbs=303,
Bhola 1,Md. Mizanur Rahman,National People's Party (NPP),217,3,"ds,dt,tbs",ds=0; dt=217; tbs=217,
Bhola 1,Rafizul Hossain,Independent Candidate (Independent),134,3,"ds,dt,tbs",ds=0; dt=134; tbs=134,
Bhola 2,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085,4,"bss,ds,dt,tbs",bss=119085; ds=119085; dt=119085; tbs=119085,
Bhola 2,Mohammad Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703,4,"bss,ds,dt,tbs",bss=93703; ds=93703; dt=93703; tbs=93703,
Bhola 2,Md. Zakir Hossain Khandaker,Independent Candidate (Independent),596,3,"ds,dt,tbs",ds=0; dt=596; tbs=596,
Bhola 2,Mohibullah Khokon,Independent Candidate (Independent),546,3,"ds,dt,tbs",ds=0; dt=546; tbs=546,
Bhola 2,Advocate Md. Jahangir Alam Ritu,Jatiya Party (JaPa),450,3,"ds,dt,tbs",ds=0; dt=450; tbs=450,
Bhola 2,Mokfar Uddin Chowdhury,Bangladesh Liberal Democratic Party (LDP),381,3,"ds,dt,tbs",ds=0; dt=381; tbs=381,
Bhola 2,Md. Ala Uddin,Amjanatar Dol,370,3,"ds,dt,tbs",ds=0; dt=370; tbs=370,
Bhola 2,Tashlima Begum,Independent Candidate (Independent),291,3,"ds,dt,tbs",ds=0; dt=291; tbs=291,
Bhola 3,"Hafiz Uddin Ahmed, Bir Bikram",Bangladesh Nationalist Party (BNP),145990,4,"bss,ds,dt,tbs",bss=145990; ds=145990; dt=145990; tbs=145990,
Bhola 3,Muha: Nizamul Haque,Bangladesh Development Party (BDP),57351,4,"bss,ds,dt,tbs",bss=57351; ds=57351; dt=57351; tbs=57351,
Bhola 3,Md. Mosleh Uddin,Islami Andolan Bangladesh (IAB),7255,3,"ds,dt,tbs",ds=0; dt=7255; tbs=7255,
Bhola 3,Md. Kamal Uddin,Jatiya Party (JaPa),789,3,"ds,dt,tbs",ds=0; dt=789; tbs=789,
Bhola 3,Md. Rahmat Ullah,Independent Candidate (Independent),508,2,"dt,tbs",dt=508; tbs=508,
Bhola 3,Md. Abu Taiyeb,Gono Odhikar Parishad (GOP),260,3,"ds,dt,tbs",ds=0; dt=260; tbs=260,
Bhola 4,Mohammad Nurul Islam,Bangladesh Nationalist Party (BNP),189351,4,"bss,ds,dt,tbs",bss=189351; ds=189351; dt=189351; tbs=189351,
Bhola 4,Mohammad Mustafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),81437,4,"bss,ds,dt,tbs",bss=81437; ds=81437; dt=81437; tbs=81937,
Bhola 4,Abul Mokarram Md. Kamal Uddin,Islami Andolan Bangladesh (IAB),24935,3,"ds,dt,tbs",ds=0; dt=24935; tbs=24935,
Bhola 4,Md. Mizanur Rahman,Jatiya Party (JaPa),585,3,"ds,dt,tbs",ds=0; dt=585; tbs=545,
Bhola 4,Mohammad Rafiqul Islam,Independent Candidate (Independent),235,3,"ds,dt,tbs",ds=0; dt=235; tbs=235,
Bhola 4,Md. Abul Kalam,Nationalist Democratic Movement (NDM),208,3,"ds,dt,tbs",ds=0; dt=208; tbs=208,
Bhola 4,Md. Jalal Uddin Rumi,Amjanatar Dol,176,3,"ds,dt,tbs",ds=0; dt=176; tbs=176,
Bogura 1,Kazi Rafiqul Islam,Bangladesh Nationalist Party (BNP),171440,4,"bss,ds,dt,tbs",bss=171440; ds=171440; dt=171440; tbs=171440,
Bogura 1,Md. Shahabuddin,Bangladesh Jamaat-e-Islami (Jamaat),57959,4,"bss,ds,dt,tbs",bss=57959; ds=57959; dt=57959; tbs=57959,
Bogura 1,A. B. M. Mustafa Kemal Pasha,Islami Andolan Bangladesh (IAB),1026,3,"ds,dt,tbs",ds=0; dt=1026; tbs=1026,
Bogura 1,Md. Asadul Haque,Bangladesh Congress,597,3,"ds,dt,tbs",ds=0; dt=597; tbs=597,
Bogura 1,Md. Zulfiqar Ali,Gono Forum (GF),298,3,"ds,dt,tbs",ds=0; dt=298; tbs=298,
Bogura 2,Mir Shahe Alam,Bangladesh Nationalist Party (BNP),145024,4,"bss,ds,dt,tbs",bss=145024; ds=145024; dt=145024; tbs=145137,
Bogura 2,Abul Azad Mohammad Shahaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),93548,4,"bss,ds,dt,tbs",bss=93548; ds=93548; dt=93548; tbs=93548,
Bogura 2,Mahmudur Rahman Manna,Nagorik Oikya (NO),3426,3,"ds,dt,tbs",ds=0; dt=3426; tbs=3426,
Bogura 2,Md. Jamal Uddin,Islami Andolan Bangladesh (IAB),913,3,"ds,dt,tbs",ds=0; dt=913; tbs=913,
Bogura 2,Shariful Islam Jinnah,Jatiya Party (JaPa),434,3,"ds,dt,tbs",ds=0; dt=434; tbs=434,
Bogura 2,Md. Selim Sarkar,Gono Odhikar Parishad (GOP),274,3,"ds,dt,tbs",ds=0; dt=274; tbs=274,
Bogura 2,Md. Rezaul Karim Talu,Independent Candidate (Independent),183,3,"ds,dt,tbs",ds=0; dt=183; tbs=183,
Bogura 3,Md. Abdul Muhit Talukdar,Bangladesh Nationalist Party (BNP),127406,4,"bss,ds,dt,tbs",bss=127406; ds=127406; dt=127406; tbs=127406,
Bogura 3,Noor Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),111026,4,"bss,ds,dt,tbs",bss=111026; ds=111026; dt=111026; tbs=111026,fuzzy-merged 'Nur Mohhammad' (tbs) -> 'Noor Mohammad' (score=0.67)
Bogura 3,Md. Shahjahan Ali Talukdar,Islami Andolan Bangladesh (IAB),1789,3,"ds,dt,tbs",ds=0; dt=1789; tbs=1789,
Bogura 3,Md. Shahinul Islam,Jatiya Party (JaPa),1495,3,"ds,dt,tbs",ds=0; dt=1495; tbs=1495,
Bogura 4,Md. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),155339,4,"bss,ds,dt,tbs",bss=155339; ds=155339; dt=155339; tbs=155339,
Bogura 4,Md. Mostafa Faisal,Bangladesh Jamaat-e-Islami (Jamaat),108978,4,"bss,ds,dt,tbs",bss=108978; ds=108978; dt=108975; tbs=108978,
Bogura 4,Muhammad Idris Ali,Islami Andolan Bangladesh (IAB),2954,3,"ds,dt,tbs",ds=0; dt=2954; tbs=2954,
Bogura 4,Shaheen Mostafa Kamal,Jatiya Party (JaPa),1107,3,"ds,dt,tbs",ds=0; dt=1107; tbs=1107,
Bogura 5,Ghulam Mohammad Siraj,Bangladesh Nationalist Party (BNP),248841,4,"bss,ds,dt,tbs",bss=248841; ds=248841; dt=248841; tbs=248841,
Bogura 5,Md. Dabibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),143329,4,"bss,ds,dt,tbs",bss=143329; ds=143329; dt=143329; tbs=143329,
Bogura 5,Mir Md. Mahmudur Rahman,Islami Andolan Bangladesh (IAB),5558,3,"ds,dt,tbs",ds=0; dt=5558; tbs=5558,
Bogura 5,Shipon Kumar Rabidas,Communist Party of Bangladesh (CPB),1782,3,"ds,dt,tbs",ds=0; dt=1782; tbs=1782,
Bogura 5,Khan Qudrat E. Saqlain,Bangladesh Liberal Democratic Party (LDP),1134,3,"ds,dt,tbs",ds=0; dt=1134; tbs=1134,
Bogura 6,Tarique Rahman,Bangladesh Nationalist Party (BNP),216284,4,"bss,ds,dt,tbs",bss=216284; ds=0; dt=216284; tbs=216284,
Bogura 6,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),97626,4,"bss,ds,dt,tbs",bss=97626; ds=0; dt=97626; tbs=97626,
