seat_name,division,district,area,total_voters,male_voters,female_voters,total_centers,total_candidates,total_votes_cast,referendum_yes,referendum_no,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,independent_total,Bangladesh Nationalist Party (BNP),Bangladesh Jamaat-e-Islami (Jamaat),National Citizen Party (NCP),Khelafat Majlis,Islami Andolan Bangladesh (IAB),Jatiya Party (JaPa),Bangladesh Islami Front (BIF),Gono Odhikar Parishad (GOP),Jamiat Ulema-e-Islam Bangladesh (JUIB),Bangladesh Liberal Democratic Party (LDP),Amar Bangladesh Party (AB),Bangladesh Development Party (BDP),Bangladesh Jatiya Party (BJP),Ganosanhati Andolan (GSA),Communist Party of Bangladesh (CPB),Jatiya Samajtantrik Dal (JSD),Bangladesh Samajtantrik Dal (Basad),Unique - Govinda Chandra Pramanik,Revolutionary Workers Party of Bangladesh (RWPB),Bangladesh Supreme Party (BSP),Bangladesh Nezame Islam Party (BNIP),Jatiya Party (Manju) (JP–Manju),Insaniyat Biplob Bangladesh (IBB),Janotar Dol,Bangladesh Republican Party (BRP),Zaker Party (ZP),Socialist Party of Bangladesh (Marxist) (SPB-M),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh Congress,Nagorik Oikya (NO),Bangladesh Khelafat Andolon (BKA),Amjanatar Dol,National People's Party (NPP),Bangladesh Labour Party,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Gono Forum (GF),Bangladesh Sangskritik Muktijote (BSM),Islami Oikya Jote (IOJ),Jatiya Ganatantrik Party (JAGPA),Nationalist Democratic Movement (NDM),Bangladesh Nationalist Front (BNF),Bangladesh Kallyan Party (BKP),Gono Front (GF),Ganatantri Party (GP),Bangladesh Somo Odhikar Party (BEP)
Chandpur 3,Chattogram,Chandpur,"Chandpur Sadar, Haimchar",546334,282704,263628,165,7,266269,166246,98309,Sheikh Farid Ahmed,Bangladesh Nationalist Party (BNP),165404,Md. Shahjahan Mia,Bangladesh Jamaat-e-Islami (Jamaat),100865,,165404,100865,,,14181,,2274,132,,,,,,,676,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,
Chandpur 4,Chattogram,Chandpur,Faridganj,400631,208603,192027,117,8,143330,146035,54519,Md. Abdul Hannan,Independent Candidate (Independent),74175,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),69155,74359,69155,66692,,,5261,277,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,
Chandpur 5,Chattogram,Chandpur,"Hajiganj, Shahrasti",526679,269243,257433,153,7,261064,147817,120667,Md. Mominul Haque,Bangladesh Nationalist Party (BNP),185404,Md. Neyamul Bashir,Bangladesh Liberal Democratic Party (LDP),75660,268,185404,,,,6681,1516,13178,,,75660,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,
Chapainawabganj 1,Rajshahi,Chapainawabganj,"Shibganj, Chapainawabganj",500181,255316,244865,158,6,369408,0,0,Md. Keramat Ali,Bangladesh Jamaat-e-Islami (Jamaat),206893,Md. Shahjahan Mia,Bangladesh Nationalist Party (BNP),162515,,162515,206893,,,1083,2263,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,
Chapainawabganj 2,Rajshahi,Chapainawabganj,"Bholahat, Gomstapur, Nachol",461000,228825,232174,182,5,326346,0,0,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171227,Md. Aminul Islam,Bangladesh Nationalist Party (BNP),155119,,155119,171227,,,1069,8175,,,,,,,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapainawabganj 3,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,468479,236648,231831,172,5,316677,0,0,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),189640,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),127037,,127037,189640,,,820,,,361,,,,,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 1,Chattogram,Chattogram,Mirsarai,386674,199859,186811,106,7,213337,118198,88490,Nurul Amin,Bangladesh Nationalist Party (BNP),128799,Mohammad Chaifur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),84538,,128799,84538,,,2108,1659,,,,,,,,,,258,,,,,,,780,,,,,,269,,,,,,,,,,,,,,,,,
Chattogram 10,Chattogram,Chattogram,"Chittagong City Corporation (8 No. Sholokbahar Ward, 11No. South Kattali Ward, 12 No. Saraipara Ward, 13 No. Pahartali Ward, 14 No. Lalkhan Bazar Ward,  24 No. North Agrabad Ward, 25 No. Rampur Ward,  26 No. North Halishahar Ward)",492444,249784,242631,148,9,199897,132100,71339,Saeed Al Noman,Bangladesh Nationalist Party (BNP),122978,Muhammad Shamsuzzaman Helali,Bangladesh Jamaat-e-Islami (Jamaat),76919,357,122978,76919,,,3880,1079,2441,,,,,,,,,,,,,,,,960,,,,305,,,,,,,,161,,,,,,,,,,,
Chattogram 11,Chattogram,Chattogram,"Chittagong City Corporation (27 No. South Agrabad Ward, 28 No. Pathantuli Ward, 29 No.West Motherbari Ward, 30 No. East Motherbari Ward, 36 No. Gosaildanga Ward, 37 No. North Madhya Halishahar Ward, 38 No. South Central Halishahar Ward, 39 No. South Halishahar Ward, 40 No. North Patenga Ward, 41 No. South Patenga Ward)",495278,252333,242942,152,11,192680,128498,68070,Amir Khasru Mahmud Chowdhury,Bangladesh Nationalist Party (BNP),115999,Mohammad Shafiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),76681,178,115999,76681,,,2557,1004,5127,104,,,,,,,,,120,,,,,,210,,,,231,,,,,,,,,,307,,,,,,,,,
Chattogram 12,Chattogram,Chattogram,Patiya,352695,184254,168440,108,8,164043,57318,126814,Mohammad Enamul Haque,Bangladesh Nationalist Party (BNP),135044,Syed Air Mohammad Payaru,Bangladesh Islami Front (BIF),28999,243,135044,21706,,,901,732,28999,,,118,,,,,,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 13,Chattogram,Chattogram,"Karnaphuli, Anwara",395246,207714,187532,118,7,177642,80580,124629,Sarwar Jamal Nizam,Bangladesh Nationalist Party (BNP),126192,"S, M, Shah Jahan",Bangladesh Islami Front (BIF),51450,,126192,35030,,,,440,51450,168,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,204,,,,,
Chattogram 14,Chattogram,Chattogram,"Chandanish, Satkania (Khagria Union, Keochia Union, Kaliaish Union, Dharmapur Union, Bazalia Union, Purangor Union)",313513,165847,147665,100,8,151960,105032,72266,Alhajj Jashim Uddin Ahammed,Bangladesh Nationalist Party (BNP),76493,Omar Farooq,Bangladesh Liberal Democratic Party (LDP),75467,4795,76493,,,,1539,293,22992,,,75467,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 15,Chattogram,Chattogram,"Satkania (Charati Union, Nalua Union, Kanchana Union, Amalish Union, Aochia Union, Madarsha Union, Dhemsa Union, West Dhemsha Union, Chadaha Union, Satkania Union, Sonakania Union), Lohagara",506059,270915,235144,157,3,311899,228471,78945,Shahjahan Chowdhury,Bangladesh Jamaat-e-Islami (Jamaat),181238,Nazmul Mustafa Amin,Bangladesh Nationalist Party (BNP),130661,,130661,181238,,,2909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 16,Chattogram,Chattogram,Banskhali,411274,219982,191287,114,7,237010,136840,89323,Mohammad Zahirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),93167,Mishkatul Islam Chowdhury,Bangladesh Nationalist Party (BNP),83105,55492,83105,93167,,,4054,,844,243,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,
Chattogram 2,Chattogram,Chattogram,Phatikchari,488465,259197,229267,142,8,,119524,88945,Md. Sarowar Alamgir,Bangladesh Nationalist Party (BNP),139831,Mohammad Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),65550,546,139831,65550,,,2248,,,266,,,,,,,,,,,,12737,,,,397,,,,,,,,,,,,,,,,,,,,,,
Chattogram 3,Chattogram,Chattogram,Sandwip,260485,134720,125763,84,4,112699,71455,37494,Mostafa Kamal Pasha,Bangladesh Nationalist Party (BNP),73037,Muhammad Ala Uddin,Bangladesh Jamaat-e-Islami (Jamaat),39662,308,73037,39662,,,5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 4,Chattogram,Chattogram,"Sitakunda, Chittagong City Corporation (North Pahartali Ward, North Kattali Ward)",448380,235352,213016,124,9,,136291,99721,Mohammad Aslam Chowdhury,Bangladesh Nationalist Party (BNP),143552,Md. Anwar Siddiqui,Bangladesh Jamaat-e-Islami (Jamaat),91404,,143552,91404,,,1337,,7267,166,,,,,,301,738,,,,,923,193,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 5,Chattogram,Chattogram,"Hathazari, Chittagong City Corporation (Dakshin Pahartali Ward, Jalalabad Ward)",501916,260903,241012,146,6,193643,120182,85622,Mir Mohammed Helal Uddin,Bangladesh Nationalist Party (BNP),147054,Md. Nasir Uddin,Khelafat Majlis,46589,1129,147054,,,46589,2422,,15420,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,
Chattogram 6,Chattogram,Chattogram,Raozan,339988,178971,161017,95,4,139383,101140,53485,Gias Uddin Quader Chowdhury,Bangladesh Nationalist Party (BNP),112237,Mohammad Ilyach Noori,Bangladesh Islami Front (BIF),27146,,112237,22118,,,,,27146,,,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 7,Chattogram,Chattogram,"Rangunia, Boalkhali (Sreepur Kharandeep Union)",319008,167531,151476,103,8,143164,97185,67378,Humam Quader Chowdhury,Bangladesh Nationalist Party (BNP),101445,A. T. M. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),41719,,101445,41719,,,1307,411,30239,129,,,158,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattogram 8,Chattogram,Chattogram,"Boalkhali (Sreepur Kharandeep Union Except), Chittagong City Corporation (Panchlaish Ward, Chandgaon Ward, Mohra Ward, East Sholashar Ward, West Sholashar Ward)",554729,282606,272122,184,6,206533,116423,131493,Ershad Ullah,Bangladesh Nationalist Party (BNP),152969,Md. Abu Nasser,Bangladesh Jamaat-e-Islami (Jamaat),53564,,152969,53564,3349,,1208,,42585,,,,,,,,,,,,,,,,884,,,,,,,,,,,,,,,,,,,,,,,
